K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
0.45,4,0.13198458790138906,0.055356833902198116,0.0592,0.24102979068986471,0,0.942,0.036,0.5124,0.0005032702169401658
0.45,5,0.09758823468548426,0.0440738293251231,0.0468,0.21121022702511355,0,0.9532,0.0392,0.4944,0.0003874778439758305
0.45,6,0.07234400425032352,0.03693495827680277,0.0384,0.19830642954780867,0,0.9628,0.0276,0.7512,0.00020360518472232534
0.45,7,0.2106213725497245,0.06870214581572628,0.2216,0.48794819397145023,0,0.8076,0.1008,0.1764,0.009463228331908023
0.45,8,0.08740013489763401,0.052133466108719106,0.0488,0.21913137611944117,0,0.952,0.0288,0.6352,0.0003029272248658218
0.45,9,0.07330302997364471,0.04126508338168858,0.0356,0.18955906731148475,0,0.9652,0.0264,0.6224,0.00017415171291706308
0.45,10,0.10105274394029273,0.03995777467693912,0.0544,0.22856211409592797,0,0.946,0.038,0.3732,0.0004690094704671987
0.45,11,0.14399555134884473,0.06180692817413141,0.0688,0.2531137293787123,0,0.9312,0.0428,0.3696,0.0007453288294919557
0.45,12,0.07152210056516524,0.037896644853976716,0.0476,0.22030487965544476,0,0.954,0.028,0.5216,0.00028375269513023757
0.45,13,0.08103027773027267,0.025959321089288764,0.0392,0.1961207791132801,0,0.9612,0.0272,0.5604,0.0002069780330544772
0.45,14,0.07151503925215615,0.03904959459385398,0.0268,0.16637836397801248,0,0.974,0.022,0.7688,9.516842852126068e-05
0.45,15,0.08647284533580883,0.04442176754355361,0.0404,0.19891666596844015,0,0.96,0.026,0.69,0.00020687334056384456
0.45,16,0.06848012176444931,0.034922587592439984,0.0448,0.21815810780257516,0,0.9576,0.0248,0.52,0.00022939762276646754
0.45,17,0.10184788277134016,0.07899471660204026,0.0516,0.22833624329045968,0,0.95,0.0416,0.6224,0.0004749393974609687
0.45,18,0.14364054153702852,0.0637142309113748,0.07,0.2776688675382964,0,0.9352,0.0484,0.5596,0.0008708584406306518
0.45,19,0.0877612305572091,0.03887626943992024,0.0332,0.17915847733222115,0,0.9668,0.02,0.8212,0.00011896123489665631
0.5,0,0.07723193161913434,0.03345242480220814,0.0384,0.19627898512066952,0,0.9624,0.03,0.6568,0.00022140270259620484
0.5,1,0.12800234424172063,0.06404585603492627,0.0748,0.279293680558655,0,0.9296,0.0396,0.5572,0.0007786261140709162
0.5,2,0.08453913983207137,0.0358122480923358,0.0216,0.15599179465600105,0,0.98,0.0136,0.9372,4.2429771266268214e-05
0.5,3,0.12480681599460774,0.04737671956641989,0.072,0.2630893384384856,0,0.9292,0.044,0.4444,0.0008195759257302952
0.5,4,0.2361112258206049,0.03994260645373525,0.2152,0.45528997353335154,0,0.8036,0.1272,0.1072,0.011374090631427023
0.5,5,0.11368803681875853,0.058810647824169296,0.0812,0.2817916961161205,0,0.9212,0.0516,0.4316,0.0011457876019490205
0.5,6,0.08602065567863301,0.04299045163832537,0.0432,0.20912618200502778,0,0.958,0.0356,0.662,0.0003126854761172174
0.5,7,0.2653002370305869,0.05325392278090935,0.2444,0.4756770332904459,0,0.7764,0.124,0.0828,0.013188811802185604
0.5,8,0.08390131169862823,0.0488408229755442,0.0392,0.19814984229113078,0,0.9616,0.0288,0.6476,0.00021913788119556123
0.5,9,0.12708011723744195,0.05674428135864402,0.0852,0.298564833830108,0,0.92,0.0528,0.2928,0.0012611378819835622
0.5,10,0.14472209748161832,0.06037165037991744,0.07,0.26739483914241874,0,0.9332,0.0424,0.5888,0.0007573477686618304
0.5,11,0.214048351938316,0.04025787093007225,0.1684,0.409928579145197,0,0.8456,0.0884,0.1344,0.0055950988429026
0.5,12,0.07971628091197368,0.04161400924980066,0.0272,0.1626657923473771,0,0.9728,0.0184,0.8604,8.141098017852483e-05
0.5,13,0.09650328610554527,0.03789828021479777,0.0392,0.1961207791132801,0,0.9612,0.0312,0.6344,0.00023741597797285823
0.5,14,0.0737454845923356,0.041251854454842446,0.0412,0.1987525094181203,0,0.9588,0.0288,0.676,0.0002358317857637683
0.5,15,0.10303460728677612,0.05456862615768011,0.0576,0.23639424696891417,0,0.9432,0.0388,0.4888,0.0005209751106671647
0.5,16,0.10142446848586224,0.04520263787186176,0.0412,0.20470114801827569,0,0.96,0.0336,0.6952,0.00027511835112460864
0.5,17,0.10433592547876094,0.07436476120937274,0.076,0.26948840420322356,0,0.9252,0.0512,0.328,0.0010320759310390698
0.5,18,0.1763084693109314,0.03707156484671778,0.0996,0.3021255368220303,0,0.9012,0.0652,0.19,0.0019462202279286846
0.5,19,0.1068470818131558,0.04323042424409042,0.056,0.22992172581119863,0,0.944,0.0296,0.536,0.00038111826558025983
0.55,0,0.09990535203558129,0.041541448192104515,0.0708,0.2580452673466421,0,0.9296,0.0424,0.354,0.0007702548193854199
0.55,1,0.29094704396086235,0.07113202636234563,0.4716,0.7107696110555093,0,0.6372,0.1728,0.202,0.04455945499102144
0.55,2,0.08831490544652283,0.041074389128366404,0.0452,0.2096591519586016,0,0.9552,0.0308,0.512,0.0002892960936312865
