K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,n_switches,Kij_mean_final,Kij_std_final,Kij_min_final,Kij_max_final,Kij_density_weak,Kij_density_strong,Kij_mean_time,Kij_std_time
0.6,6,0.5338978966606078,0.1090371902333288,2.4044,1.8573262072129384,1,0.2,0.4652,1163,1.2471354007720947,1.064628839492798,0.0,2.5,0.1254761904761904,0.4606390977443609,0.8986615037918091,0.9113292574882508
0.6,7,0.7874128998320096,0.0415636045483436,9.3304,2.525477348938216,10,0.168,0.6896,1724,1.7754366397857666,1.061492085456848,0.0,2.5,0.0772180451127819,0.6873182957393483,1.603217496871948,1.03560999751091
0.6,8,0.4989272920210836,0.1616093216707331,2.2288,1.998111748626688,0,0.2508,0.4136,1034,1.266104817390442,1.0670593976974487,0.0,2.5,0.1232205513784461,0.4870175438596491,0.8292657762765885,0.8445639979839324
0.6,9,0.5957173273630562,0.1018072197204977,3.8976,2.3433126637305577,4,0.1668,0.5396,1349,1.309183120727539,1.1096101999282837,0.0,2.5,0.1515288220551378,0.4991353383458646,1.0532524847984317,0.9780990290641784
0.6,10,0.738665271188154,0.0503239657561708,6.908,2.510206366018539,8,0.1404,0.672,1680,1.64178729057312,1.1002089977264404,0.0,2.5,0.1168922305764411,0.6346115288220552,1.4108457243442536,1.0423947227001191
0.6,11,0.6630183636878942,0.1733772623975698,6.05,3.5424708890829293,8,0.1208,0.6048,1512,1.68916916847229,1.0581293106079102,0.0,2.5,0.0697744360902255,0.6504260651629072,1.2004358124732972,0.9478817737102508
0.6,12,0.7365549324846677,0.0630647303342104,7.0744,2.6293848406043567,7,0.1464,0.692,1730,1.6493207216262815,1.0845086574554443,0.0,2.5,0.0549874686716791,0.6224812030075187,1.3685901856422424,1.0163623082637787
0.6,13,0.6646567001248038,0.0776540788075265,4.6384,2.483313399472568,5,0.1412,0.6252,1563,1.4849337339401243,1.119428277015686,0.0,2.5,0.1256390977443609,0.5613784461152882,1.1815683007240296,1.0104879319667817
0.6,14,0.7151095120133354,0.0937493095387397,6.5636,3.1419030920765203,7,0.1192,0.6304,1576,1.7218340635299685,1.0450893640518188,0.0,2.5,0.0624561403508771,0.6681077694235589,1.3175978326797486,0.9929028761386872
0.6,15,0.6626346145866541,0.0848395683242408,5.0364,2.646936916513124,3,0.1376,0.5892,1473,1.4981905221939087,1.0965896844863892,0.0,2.5,0.0973684210526315,0.5711278195488722,1.1693339443206787,0.991647847890854
0.6,16,0.7372897692033897,0.0641477026936799,7.488,2.854655145547357,8,0.134,0.6768,1692,1.6757339239120483,1.086177945137024,0.0,2.5,0.0984837092731829,0.645062656641604,1.393558245897293,1.009730497598648
0.6,17,0.7165113322003376,0.0597980769161161,6.3752,2.443445305301512,7,0.1516,0.6748,1687,1.5801661014556885,1.096417784690857,0.0,2.5,0.0847744360902255,0.5955012531328321,1.3346533608436584,1.0539220833778382
0.6,18,0.7076525375239233,0.0544407058875155,5.688,2.317294974749654,6,0.168,0.6728,1682,1.533108115196228,1.1247475147247314,0.0,2.5,0.1147117794486215,0.5848872180451128,1.3065470552444458,1.046670309305191
0.6,19,0.5634064268496703,0.1251549369094863,3.2116,2.521353890274033,1,0.196,0.4928,1232,1.4432708024978638,1.0788450241088867,0.0,2.5,0.1113784461152882,0.5640350877192982,0.9677401781082152,0.9130154931545258
0.65,0,0.535233591661521,0.1730520756331559,3.434,2.7207432807966283,0,0.1672,0.4864,1216,1.444595456123352,1.069763422012329,0.0,2.5,0.1105513784461152,0.5709022556390978,0.9345204401016236,0.8827763593196869
0.65,1,0.823712104086487,0.041644707500603,10.7664,2.6641004185278003,11,0.1492,0.7004,1751,1.921501398086548,0.9915151596069336,0.0,2.5,0.0635714285714285,0.7504135338345864,1.723966417312622,1.0055236554145812
0.65,2,0.5094776302762514,0.1423586016792971,2.6772,2.4513262043228763,1,0.242,0.4496,1124,1.3439058065414429,1.0138747692108154,0.0,2.5,0.0835338345864661,0.5423558897243108,0.8520811748504639,0.8638677334785462
0.65,3,0.7404331908198778,0.080772547678284,7.3452,3.15335328816801,8,0.13,0.6868,1717,1.7050031423568726,1.082047462463379,0.0,2.5,0.0786967418546366,0.6577944862155388,1.38720787525177,0.9986045026779174
0.65,4,0.6757362592354508,0.0992010615888453,5.4604,2.921854178428485,4,0.1156,0.636,1590,1.5889090299606323,1.1050052642822266,0.0,2.5,0.1123057644110275,0.6160902255639098,1.2166670429706574,0.9936730027198792
0.65,5,0.6341771448368958,0.1403906014721517,4.704,3.155500594200546,2,0.1264,0.5556,1389,1.6617461442947388,1.041195034980774,0.0,2.5,0.0558897243107769,0.6547744360902256,1.1103605926036837,0.9318250334262848
0.65,6,0.5898622884285932,0.0903239968570547,3.1584,2.128029473480102,2,0.1888,0.522,1305,1.3453164100646973,1.0698182582855225,0.0,2.5,0.1083082706766917,0.4996115288220551,1.0135037183761595,0.9672861087322236
0.65,7,0.8020238616164296,0.0398504841726931,9.8164,2.6751244905611404,11,0.1564,0.68,1700,1.8157062530517576,1.0475176572799685,0.0,2.5,0.0787593984962406,0.7058897243107769,1.6517242097854614,1.0271993780136108
0.65,8,0.5107667875510286,0.1655347721789604,2.3772,2.05711452282074,0,0.2472,0.4292,1073,1.2915701866149902,1.0751378536224363,0.0,2.5,0.1208897243107769,0.493796992481203,0.8526658993959427,0.8557650816440582
0.65,9,0.6039038701320832,0.1080459895623653,3.7564,2.2921298043522755,3,0.162,0.5448,1362,1.4133228063583374,1.0952271223068235,0.0,2.5,0.1204260651629072,0.5408646616541354,1.064641766548157,0.9763767671585084
0.65,10,0.7418162450346822,0.0496470813335258,7.2252,2.639106848916883,8,0.146,0.6548,1637,1.6538255214691162,1.100801944732666,0.0,2.5,0.1135213032581453,0.6326065162907268,1.4293263411521913,1.0480262279510495
0.65,11,0.6594503581223397,0.1877804954744834,6.2428,3.636350940159654,8,0.1216,0.5624,1406,1.7028875350952148,1.0555455684661863,0.0,2.5,0.0619047619047619,0.6531203007518797,1.1948127567768096,0.9354946529865265
0.65,12,0.7360096956224378,0.0633941792078809,7.0432,2.7731090422123685,8,0.1328,0.6848,1712,1.6493675708770752,1.0864511728286743,0.0,2.5,0.0515413533834586,0.6222431077694236,1.3724469542503357,1.0218010652065277
0.65,13,0.6673166083635766,0.0812834690664617,4.8352,2.578689775835783,5,0.1396,0.6292,1573,1.5023943185806274,1.1164369583129885,0.0,2.5,0.1238847117794486,0.5732832080200502,1.1912123239040375,1.0147713232040405
0.65,14,0.7098785010757284,0.0837116515188263,6.3036,2.840884904391588,6,0.1368,0.63,1575,1.692507028579712,1.0468508005142212,0.0,2.5,0.0560526315789473,0.6509398496240602,1.3171112489700318,1.0067466521263122
0.65,15,0.6524974612485558,0.0895855430313793,4.9208,2.821653302586978,4,0.1228,0.592,1480,1.4847280979156494,1.0854060649871826,0.0,2.5,0.0855889724310777,0.5564285714285714,1.1483706474304198,0.9953197836875916
0.65,16,0.7116357225989925,0.0749748004404815,6.366,2.7885558986687,7,0.1252,0.6536,1634,1.6561954021453855,1.0839691162109375,0.0,2.5,0.1044235588972431,0.6392731829573934,1.3226179099082946,1.0088896906375886
0.65,17,0.7330266793242319,0.0485792621553897,6.9972,2.280612233589919,8,0.1732,0.7012,1753,1.5863372087478638,1.0976691246032717,0.0,2.5,0.0801002506265664,0.5992857142857143,1.3869393074512482,1.061651644706726
0.65,18,0.7113901338626709,0.053354756543376,5.9584,2.5078814645034564,6,0.1496,0.6968,1742,1.5371477603912354,1.1341373920440674,0.0,2.5,0.1209774436090225,0.5927443609022557,1.324375284910202,1.0532773792743684
0.65,19,0.6278740944310528,0.1089410488914164,4.4088,2.850277628582872,2,0.1444,0.5508,1377,1.5264861583709717,1.066870927810669,0.0,2.5,0.1053383458646616,0.5974185463659147,1.1002688336372377,0.954992196559906
0.7,0,0.597919692140081,0.1414331985246237,4.2332,3.105031040102498,1,0.1636,0.5104,1276,1.5752466917037964,1.0596613883972168,0.0,2.5,0.0902380952380952,0.6137593984962406,1.0344027614593505,0.9188465178012848
