topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.65,7,0.6840687341275576,0.0026387239542492906,2.7945,0.8326282183543866,3,0.4505,0.0655,0.0995,0.029968163449594878
all_to_all,0.65,8,0.42554676796716884,0.06733008791685091,3.9025,1.613069666815417,4,0.238,0.4955,0.0995,0.6090483283983229
all_to_all,0.65,9,0.47407531478247245,0.055316883497933664,4.931,1.3100530523608576,5,0.304,0.452,0.0995,0.41213221076010387
all_to_all,0.65,10,0.6388191886068536,0.005790782414439226,3.998,1.254589972859659,4,0.301,0.2195,0.0995,0.19249236770780231
all_to_all,0.65,11,0.6761838750376262,0.004313682644306113,4.3065,1.2035604471733026,4,0.347,0.2175,0.0995,0.1709386821968312
all_to_all,0.65,12,0.604433097941733,0.01120015574338283,4.7355,1.4298740329133892,4,0.2875,0.281,0.0995,0.28627865583345724
all_to_all,0.65,13,0.49315097765298044,0.01590970933259383,5.477,1.286262414906072,6,0.3005,0.518,0.0995,0.4660656105792215
all_to_all,0.65,14,0.6053462755513395,0.005818096047363466,4.443,1.1030643680221022,4,0.344,0.2115,0.0995,0.1530435634004688
all_to_all,0.65,15,0.40417344757639706,0.06783181529947234,3.489,1.6863804434349918,4,0.216,0.475,0.0995,0.6280080784573132
all_to_all,0.65,16,0.5435276590035877,0.012293422019917741,5.931,1.2892784803912611,6,0.313,0.448,0.0995,0.39680897446663516
all_to_all,0.65,17,0.6155365997130107,0.005739691772514564,5.5775,1.3949887992381875,5,0.2725,0.3715,0.0995,0.3770183925769622
all_to_all,0.65,18,0.5228060689460298,0.01357816136948498,5.373,1.3931514634094888,5,0.2725,0.5325,0.0995,0.5396981707417073
all_to_all,0.65,19,0.3890056802312328,0.09040942427223914,3.711,1.7738317282087384,4,0.207,0.435,0.0995,0.611892125210894
all_to_all,0.7,0,0.7217877457970587,0.003305628594109063,2.985,1.110754248247559,3,0.3385,0.085,0.0995,0.06245493522810356
all_to_all,0.7,1,0.8022296452747967,0.0008001767364264544,1.374,0.49104378623499556,1,0.6295,0.0155,0.0995,0.002819941885332744
all_to_all,0.7,2,0.6626209833716501,0.002977715251145115,2.4985,0.9974957393392716,2,0.4145,0.061,0.0995,0.03562605966240551
all_to_all,0.7,3,0.7222358185339038,0.0024665353590148874,2.541,0.8416168962182259,3,0.45,0.0585,0.0995,0.027079024098710713
all_to_all,0.7,4,0.7062104412775945,0.0026275117626611503,3.0045,0.9200433413703945,3,0.3655,0.0955,0.0995,0.05574979684327122
