topology,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
small_world,0.45,0.10036472460060315,0.01831160978121955,0.04651720759617152,0.010257169024332656,0.056674999999999996,0.019846300861740877,0.23431152111619732,0.04022140791869302,0.9449500000000001,0.018888802029384075,0.034625,0.010711374917888873,0.5532999999999999,0.1583261457279013,0.0005353037650701532,0.0004537955889224986
small_world,0.5,0.11191819744168549,0.024744863463064797,0.04987543273889512,0.012012030397451507,0.05885,0.02310166318915725,0.23752394956131678,0.04715091543223661,0.942975,0.02174764052537775,0.03505,0.012674985726141657,0.51185,0.15580158603341082,0.000602575067686801,0.0005897593926781607
small_world,0.55,0.1322634790839706,0.033450792841988465,0.055483417464246496,0.011521803126459826,0.080925,0.050779522136596096,0.2733584540673662,0.08367649541003083,0.9234500000000001,0.04274031130591255,0.0412,0.01700030959470414,0.486275,0.1829509910647629,0.0013585713391031844,0.0022466707066475817
small_world,0.6,0.16208465899973712,0.04271418316900114,0.0630106713784521,0.016806046174623876,0.151175,0.08792779259441418,0.3744696119505688,0.11493200381365273,0.8635999999999999,0.07109918942464889,0.0638,0.026357561583567987,0.34940000000000004,0.17455180199283926,0.004864814082772121,0.005455192408402189
small_world,0.65,0.16641655194691957,0.05030083325122719,0.06349254240642038,0.023115837025988885,0.16885,0.13071736283818008,0.3909131392348523,0.14158470618252725,0.853,0.1005568705287029,0.06305,0.036710066022392566,0.363925,0.17901303061950252,0.007071960777053468,0.012246914251156897
small_world,0.7,0.20971276113888546,0.06061209334089635,0.07618752525478059,0.016581709435959272,0.324375,0.21285180630515782,0.5693558953873944,0.16748645471584447,0.748775,0.1261135114218849,0.0896,0.04347491714831245,0.26937500000000003,0.14293630114218894,0.01994250949524402,0.03022190575555123
small_world,0.75,0.23038969951031457,0.05683591762404173,0.08425282880676206,0.02007061813933496,0.450225,0.31771347879066,0.7100915710039307,0.29486419405544656,0.6965250000000001,0.14919930815064655,0.09345,0.043139888734209784,0.23584999999999998,0.09927183572605602,0.03211650670075955,0.0460098141805354
small_world,0.8,0.2610115659835108,0.08118759437512515,0.09305505440444131,0.024955731096451647,0.769825,0.6425642354741868,0.9427840033229533,0.4637472491941063,0.6085,0.19507528910923763,0.10475000000000001,0.05416798918763349,0.22057500000000002,0.13018319834594227,0.06369643762547622,0.07584131848669878
small_world,0.85,0.29827643331657844,0.08435756262415227,0.10779996615035223,0.03976936148510133,1.1737,0.7682083290632205,1.267077363381368,0.547968910188507,0.510575,0.20719024279759488,0.12155,0.05186898982304511,0.188575,0.0967445462899181,0.10636138951237048,0.09773334899249356
small_world,0.9,0.3249345831565166,0.10619606975875222,0.10337805061853556,0.035416409045589174,1.466825,1.0445108182025236,1.337503734495293,0.6376193161499433,0.46795,0.23151326550602488,0.111125,0.0508594231293733,0.177775,0.12790369269596227,0.11479429516995668,0.09537651222526436
