K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.65,17,0.2942467923258828,0.09784798214527524,0,0.6048,0.2136,,0.081,0.6072,0.9119803506655174,3.0120772946859904,1.9809782608695652,12,14,1068
0.65,18,0.280765764078307,0.07384498725983266,0,0.6462,0.1992,,0.0488,0.4328,0.6513709849233384,3.0980392156862746,2.0292397660818713,16,8,996
0.65,19,0.3239927903154639,0.09655714067771952,0,0.5184,0.2524,,0.0484,0.7142,0.9031712794370733,3.0275049115913557,2.0593824228028503,14,10,1262
0.7,0,0.41866786057748967,0.13588067094012418,0,0.2544,0.3888,,0.0518,1.8356,1.5196620150546634,2.4306930693069306,1.997090909090909,10,19,1944
0.7,1,0.5334438235490455,0.15101894615584907,4,0.2002,0.5192,,0.0398,3.5796,2.0582671935392645,2.396103896103896,1.7015177065767284,10,8,2596
0.7,2,0.46797721462776726,0.13621715491401634,3,0.2338,0.462,,0.0398,2.303,1.5537023524472118,2.1462686567164178,1.8463611859838276,13,10,2310
0.7,3,0.41770251956328475,0.12673041127922957,1,0.2614,0.402,,0.1036,1.6976,1.3431880880948877,2.6404040404040403,1.9219330855018588,16,13,2010
0.7,4,0.5453389862168971,0.06863355134206252,3,0.2542,0.5418,,0.0398,3.2636,1.5225357270028181,2.0728155339805827,1.780081300813008,10,16,2709
0.7,5,0.5091735791790492,0.12173866143672266,3,0.209,0.5198,,0.0398,3.153,1.8960988898261608,2.1219512195121952,1.702983138780804,9,9,2599
0.7,6,0.4531166131081101,0.18685704731099295,0,0.2538,0.4182,,0.0824,2.7228,2.091879575883851,2.4240506329113924,1.8048517520215634,20,9,2091
0.7,7,0.4949318323787107,0.1520395519079038,3,0.2196,0.4872,,0.0958,2.8496,1.8270686467672745,1.995,1.747353888633226,8,10,2436
0.7,8,0.4029775636572838,0.13589976405655238,1,0.29,0.3934,,0.1024,1.4012,1.2166505496649398,2.4126455906821964,1.9365367180417044,17,11,1967
