K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.4,17,0.07056862290976976,0.04087857111408429,0,0.9728,0.0176,,0.7588,0.0274,0.16446653154973506,3.0681818181818183,1.0,13,1,88
0.4,18,0.079704062564286,0.04951278131276083,0,0.9582,0.0284,,0.5948,0.0418,0.20013185653463572,2.943661971830986,0.0,11,0,142
0.4,19,0.06465383901000112,0.0292104848637038,0,0.9714,0.0222,,0.6944,0.029,0.17017344093600506,2.5636363636363635,2.0,6,2,111
0.45,0,0.10120058691665375,0.058874904401702406,0,0.956,0.0312,,0.6204,0.0452,0.21344076461632158,2.7435897435897436,1.2,10,2,156
0.45,1,0.08851957778296413,0.05494623791450612,0,0.9444,0.0344,,0.4876,0.0566,0.23536448330196297,3.211764705882353,2.5,11,4,172
0.45,2,0.09540477141812931,0.05562679833893356,0,0.9378,0.0464,,0.3518,0.0638,0.2508576488768082,2.6120689655172415,1.6,11,3,232
0.45,3,0.07861171937996195,0.036439402718049727,0,0.9628,0.0274,,0.6172,0.0376,0.1923180698738421,2.7058823529411766,2.0,9,2,137
0.45,4,0.10224103364767392,0.04998109102416311,0,0.9582,0.0302,,0.6178,0.0428,0.20728762625878086,2.72,2.5,9,4,151
0.45,5,0.09360659952763899,0.04851168879603472,0,0.9412,0.0354,,0.502,0.0614,0.25065921088202603,3.1931818181818183,1.625,18,3,177
0.45,6,0.08576538121761769,0.04394497102540093,0,0.9422,0.0342,,0.513,0.0606,0.2524433401775535,3.2705882352941176,2.75,11,3,171
0.45,7,0.10925298207641322,0.04784256651212489,0,0.9578,0.0294,,0.5672,0.0434,0.20956249664479568,2.8472222222222223,2.0,16,3,147
0.45,8,0.10391432519850338,0.0494063159125696,0,0.9462,0.0396,,0.505,0.057,0.24525700805481582,2.5555555555555554,2.0,9,5,198
0.45,9,0.07233002556092542,0.04239122944635471,0,0.9554,0.0298,,0.536,0.0454,0.2119878298393566,2.9594594594594597,2.0,11,2,149
0.45,10,0.12595243294962313,0.060480342635669475,0,0.9342,0.047,,0.4556,0.0686,0.2636172225026278,2.669491525423729,1.75,12,3,235
0.45,11,0.08721840618661758,0.04158756007919556,0,0.9578,0.0312,,0.5456,0.0426,0.20392459390666937,2.6794871794871793,1.0,10,1,156
0.45,12,0.10960121672098003,0.05077877306490658,0,0.938,0.0388,,0.4664,0.0632,0.24820507649925294,3.1666666666666665,3.0,11,4,194
0.45,13,0.09421204070015084,0.04031262796787289,0,0.9604,0.025,,0.6112,0.0398,0.19650943997681128,3.1774193548387095,1.0,12,1,125
0.45,14,0.0973988579829019,0.03815156873568654,0,0.9542,0.0314,,0.5238,0.046,0.21043763921884315,2.923076923076923,1.0,8,1,157
0.45,15,0.09183053511420491,0.04569872790988311,0,0.9522,0.0342,,0.5246,0.048,0.21469979040511425,2.8,1.0,13,1,171
0.45,16,0.07166939506425692,0.03856216254368831,0,0.9728,0.024,,0.8052,0.0272,0.1626657923473771,2.2666666666666666,0.0,8,0,120
0.45,17,0.08614135347321068,0.04177111070587715,0,0.9658,0.0234,,0.6478,0.0356,0.19269831343320057,2.8771929824561404,1.75,9,3,117
0.45,18,0.0928727086613016,0.047067010634465056,0,0.959,0.0328,,0.5838,0.041,0.19829019138626097,2.5,0.0,10,0,164
0.45,19,0.07269370147273421,0.031297398116332226,0,0.9728,0.0204,,0.7748,0.0278,0.1680094044986768,2.607843137254902,3.0,7,3,102
0.5,0,0.11444950577109407,0.06324634086396516,0,0.9316,0.044,,0.4678,0.0724,0.274150031916832,2.9541284403669725,2.5,14,6,220
0.5,1,0.10641155207695438,0.05447291514539129,0,0.9456,0.0338,,0.5372,0.0552,0.23184684599968142,3.1904761904761907,2.0,11,2,169
