K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,R_var_mean,R_var_std,R_ac1_mean,R_ac1_std,recovery_proxy_mean,recovery_proxy_std,R_range_mean,R_range_std,rolling_var_mean,rolling_var_max_mean,rolling_ac1_mean,dR_dK,dVar_dK,dAC1_dK,dRecoveryProxy_dK,critical_slowing_score
0.9,0.837621358152451,0.018319220149135014,2.1321423123040963e-06,3.398768721769834e-06,1.5520078222794366e-11,3.621417792379484e-11,0.9996665555172356,0.00033536182881565885,0.020792142287189827,0.0150760969722252,1.140412552407266e-05,1.8054971670174558e-05,1.2913567894757247e-11,6.197171708843309e-11,0.9994789413636893,0.6645926992951132,-4.773864989786805e-08,0.0027573405328524814,-0.16064441219733777,0.3807042592087247
0.925,0.852707037087731,0.01627258350459777,1.6928146980361647e-07,2.759156114094081e-07,1.0097916940732883e-13,2.835671641652527e-13,0.9997263618836614,0.00033058266233073583,0.01755719042072784,0.015223987585317312,1.0259487496666608e-06,1.7189470729867828e-06,7.45078078446083e-14,5.253782335725275e-13,0.9995904888616609,0.5579515686503349,-3.103879239274271e-10,0.0027173077307800497,-0.12972129078182704,0.38489402158395747
0.95,0.8655189365849679,0.014545729931398403,1.465315535938902e-08,2.21789720461906e-08,6.820264229608102e-16,2.0375705972959315e-15,0.9998024209037748,0.00027662570563629464,0.014306077748098486,0.013100481553487683,8.96957776719276e-08,1.5000686180563162e-07,4.471107386522112e-16,4.187912816385612e-15,0.9996757239159149,0.476629827945235,-2.019479342790861e-12,0.002524438460458356,-0.12557819027019906,0.39862210185851416
0.975,0.8765385284849927,0.013063451257186923,1.5446074982919812e-09,1.7218275060498822e-09,5.202267786340272e-18,1.2833473336050605e-17,0.9998525838066842,0.00028776390087815285,0.011278280907217893,0.011205345023858693,8.648803301314346e-09,1.1646885000981215e-08,2.6228239923758152e-18,2.7370360909138097e-17,0.9997167165416286,0.41161167054556813,-1.3638741493452027e-14,0.002005182432156971,-0.10072702070290146,0.4238818162514707
1.0,0.8860995201122464,0.011797262351959083,2.2589154515722195e-10,2.008437413951543e-10,8.934828820824066e-20,1.5278471993058084e-19,0.9999026800253826,0.0002710274584514257,0.009269726712953407,0.010354933650331462,1.2948660810252478e-09,1.357744882403829e-09,1.625833662631552e-20,2.0166331594589803e-19,0.9998035822725964,0.3584287140335931,-1.0399063285650949e-16,0.001971624376036374,-0.06659433174227622,0.4511108361210868
1.025,0.8944599641866725,0.010717568894998246,3.7523285556288817e-11,3.7390493526447165e-11,2.736143514782516e-21,6.28927465174131e-21,0.9999511650254862,0.00014954310182629506,0.007948564320104084,0.006698319851028095,1.9687908525689578e-10,1.9315223477177922e-10,1.885582651546863e-22,3.2804649947172422e-21,0.9983349400547035,0.3145027587574951,-1.7850826757264325e-18,0.0014553622421829004,-0.04444126040282434,0.47711001991924806
1.05,0.9018246580501212,0.009793226254929852,6.57016975929441e-12,7.326038008275273e-12,9.415442191970598e-23,2.5056794407104083e-22,0.9999754481374918,7.719137727243734e-05,0.007047663692812192,0.002874173633621116,3.3938479804263014e-11,3.826911910010704e-11,4.81030310256382e-24,9.459846224614252e-23,0.9795877979956182,0.2779275682128244,-5.466335031325014e-20,0.0008781154875165953,-0.0246067947018814,0.500699724598989
1.075,0.9083563425973138,0.008996378994604632,1.1766609757819364e-12,1.294306588611022e-12,2.9759991199839046e-24,7.821750398459589e-24,0.9999950707998619,1.7092567235909195e-05,0.0067182245850100075,0.000588756817633932,6.2627181218744e-12,6.913247690571302e-12,1.5536626414038054e-25,3.336914422097684e-24,0.8802099230929507,0.24720502953344692,-1.8812827834121977e-21,0.000373745782596302,0.016883725194966392,0.5093893350792709
1.1,0.9141849095267934,0.008303883192396258,2.1098245663232867e-13,2.1949499955982792e-13,9.028274909679284e-26,2.213744041892631e-25,0.9999941354266216,1.6231585487729128e-05,0.007891849952560526,0.0017602203574928728,1.1447787162666145e-12,1.1939868065850877e-12,5.064186078724322e-27,1.1278584607641602e-25,0.7411530982941832,0.22117137773917506,-5.94635765904058e-23,-0.001594243681431351,0.15808803882877237,0.4691330315876848
1.125,0.9194149114842725,0.007697091689066708,3.8409282566843085e-14,3.762722245631301e-14,2.820290463587619e-27,6.401241704358678e-27,0.9999153586157904,0.00016391582408698406,0.014622626526448584,0.009048463137671006,2.1374013670083514e-13,2.089641710023187e-13,2.638566774077531e-28,3.8998972085968565e-27,0.6243255178808329,0.19892852732290578,-1.8038104297176135e-24,-0.03238851751845928,0.8700392108683362,0.3677352679114055
1.15,0.9241313358929387,0.007161204816073806,7.126496307424333e-15,6.604676277397438e-15,9.222761091248832e-29,1.9388571897700137e-28,0.9983747095506986,0.003531664451072254,0.05139381049597719,0.042250538973846806,4.0839553960836386e-14,3.756424771083217e-14,7.775236138018446e-29,1.697624129410012e-28,0.6072621969239533,0.17978056169570067,-5.63423973080746e-26,-0.5206697784364849,4.1792710154613815,0.2812651113230795
1.175,0.9284039395690575,0.006684543546135044,1.3569197891632454e-15,1.1829342953178621e-15,3.170598183910034e-30,6.158770190059414e-30,0.9738818696939658,0.0364957226135853,0.22358617729951905,0.1651678042189286,8.143485885625523e-15,6.935705078117265e-15,3.380767349297605e-29,3.6880728344279844e-29,0.43112307764317864,0.1631832095882011,-1.8417914707678855e-27,-5.398617252108462,11.21223103840093,0.23156988725893562
1.2,0.9322904963723488,0.006257873398173307,3.1966587294756426e-16,1.9426271892484636e-16,1.3803737409319846e-31,2.047397804675043e-31,0.7284438469452772,0.28721419513216023,0.6120053624160222,0.2801116633623438,1.915134717478395e-15,1.2765023974252066e-15,3.523548808789774e-30,3.8130618060994485e-30,0.4373760757642252,0.15546227213165287,-1.2130243239267385e-28,-9.81752090994758,15.536767404660184,0.0
