seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
3,down,0.85,0.8529737432752519,1.1793216941373447e-05,1.0,0.0,1
3,down,0.825,0.8399271908631527,2.1189171368033967e-05,1.0,0.0,1
3,down,0.8,0.8246815340293053,3.9180657604065976e-05,1.0,0.0,1
3,down,0.775,0.8065876636684006,7.49928965192033e-05,1.0,0.0,1
3,down,0.75,0.7846718830893108,0.0001493456896685239,1.0,0.0,1
3,down,0.725,0.7573698422964706,0.0003087198192013636,1.0,0.0,1
3,down,0.7,0.7220420294458408,0.0007801464437735372,1.0,0.0,1
3,down,0.675,0.6738371058447492,0.0026788461293285673,1.046,0.2094850830011531,1
3,down,0.65,0.6005685800104836,0.007555209619531991,2.75,1.00772019926168,4
3,down,0.625,0.47304694462910324,0.027406785209442452,1.878,0.9731988491567384,2
3,down,0.6,0.49388264774251606,0.06429543849704489,1.544,1.232908755747967,2
3,down,0.575,0.3109307727098746,0.014780033791287894,0.074,0.26177089219391836,0
3,down,0.55,0.32192913279252183,0.053039095185607885,0.094,0.2918287168871494,0
3,down,0.525,0.1310453816841262,0.09203701695166965,0.002,0.044676615807377355,0
3,down,0.5,0.285320384568962,0.060790853238251334,0.08,0.27856776554368234,0
3,down,0.475,0.25263214794945504,0.02226347805158892,0.014,0.1174904251417961,0
3,down,0.45,0.050665300534894056,0.014229523041005627,0.0,0.0,0
3,down,0.425,0.06689684939674767,0.038355982809735206,0.0,0.0,0
3,down,0.4,0.08043031008490359,0.019638542967903204,0.0,0.0,0
4,up,0.4,0.11865036980624058,0.0216350818839458,0.0,0.0,0
4,up,0.425,0.2468160103043403,0.04279215677800864,0.01,0.09949874371066199,0
4,up,0.45,0.28428302318874876,0.019251866915984253,0.02,0.13999999999999999,0
4,up,0.475,0.24654137589220107,0.027293473765127946,0.004,0.063118935352238,0
4,up,0.5,0.33269122578073573,0.031219086054755533,0.062,0.24115555146004827,0
4,up,0.525,0.3153313000717949,0.03436599054755413,0.06,0.23748684174075835,0
4,up,0.55,0.3904602999543132,0.023582787534265105,0.246,0.45769422106904517,0
4,up,0.575,0.2956628625734511,0.006806016566362744,0.022,0.14668333238647124,0
4,up,0.6,0.4410323872351856,0.07474848097064093,1.574,1.3610745754733646,0
4,up,0.625,0.48548608979310826,0.042281339309959795,1.694,0.8856432690423386,3
4,up,0.65,0.5167892146689914,0.01654146763189727,2.692,1.1632437405806233,2
4,up,0.675,0.633979542503754,0.008882376346962179,1.728,0.8820521526531182,3
4,up,0.7,0.7040764556770628,0.002625487654754113,1.304,0.4599826083668816,1
4,up,0.725,0.7459695218346397,0.0008416504305324388,1.048,0.21376622745419815,1
4,up,0.75,0.7766870117118495,0.0005903953333131361,1.0,0.0,1
4,up,0.775,0.8006597563775085,0.0001681706457442033,1.0,0.0,1
4,up,0.8,0.8200701515515711,6.306199224871845e-05,1.0,0.0,1
4,up,0.825,0.8361993919126808,3.176705362323658e-05,1.0,0.0,1
4,up,0.85,0.8498747529272784,1.6884486711802147e-05,1.0,0.0,1
4,up,0.875,0.8616452928131375,9.275671703396526e-06,1.16,0.36660605559646714,1
4,up,0.9,0.8718965779899334,5.2384360540677595e-06,1.148,0.355099985919459,1
4,up,0.925,0.8809107218962915,3.0294626801467426e-06,1.226,0.4182391660282428,1
4,up,0.95,0.8889007019690432,1.7885205719453867e-06,1.162,0.368450810828257,1
4,up,0.975,0.8960313250780164,1.0751427563784573e-06,1.212,0.40872484632084705,2
4,up,1.0,0.9024327079706373,6.566378400570354e-07,1.236,0.42462218500685994,2
4,up,1.025,0.9082093038283418,4.066791708307908e-07,1.25,0.4330127018922193,1
4,up,1.05,0.9134461502866774,2.54999553947232e-07,1.24,0.4270831300812525,1
4,up,1.075,0.9182133158844878,1.6165347254115515e-07,1.232,0.4221089906647334,1
4,up,1.1,0.922569139994526,1.034839066005117e-07,1.218,0.4128873938497033,1
4,up,1.125,0.9265626420779477,6.682838483526786e-08,1.204,0.4029689814365369,1
4,up,1.15,0.9302353451332085,4.349806101295383e-08,1.188,0.3907121702737195,1
4,up,1.175,0.9336226772482513,2.8514891972094585e-08,1.172,0.3773804446443933,1
4,up,1.2,0.9367550636180378,1.8814009198582846e-08,1.154,0.3609487498246808,1
4,down,1.2,0.9367550729310993,2.2725698534629936e-16,1.146,0.3531062163145815,1
4,down,1.175,0.9336227051645332,2.676617422580745e-08,1.09,0.28618176042508375,2
4,down,1.15,0.9302353885599033,4.071641543309299e-08,1.188,0.3907121702737195,1
4,down,1.125,0.9265627101789625,6.236204274155828e-08,1.204,0.4029689814365369,1
4,down,1.1,0.9225692477423681,9.623798732321901e-08,1.218,0.4128873938497033,1
4,down,1.075,0.918213488045732,1.4976276949932904e-07,1.178,0.38251274488570974,2
4,down,1.05,0.913446428393141,2.3523706493991037e-07,1.242,0.4282942913464992,1
4,down,1.025,0.9082097585952315,3.733657575126854e-07,1.248,0.43185182644050485,1
4,down,1.0,0.9024334618707271,5.99588423120082e-07,1.254,0.4352975993501458,1
4,down,0.975,0.8960325943178443,9.757040721320344e-07,1.208,0.4058768286069063,2
4,down,0.95,0.8889028765600676,1.6117183295193786e-06,1.162,0.368450810828257,1
4,down,0.925,0.8809145229066371,2.7079460800373645e-06,1.226,0.4182391660282428,1
