epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,d_sync_score_dEps,abs_d_sync_score_dEps,d_mean_spatial_var_dEps,abs_d_mean_spatial_var_dEps,d_mean_clusters_dEps,abs_d_mean_clusters_dEps,d_mean_switch_fraction_dEps,abs_d_mean_switch_fraction_dEps,d_mean_dwell_dEps,abs_d_mean_dwell_dEps,d_max_dwell_dEps,abs_d_max_dwell_dEps,d_switching_rate_dEps,abs_d_switching_rate_dEps,d_dominant_fraction_dEps,abs_d_dominant_fraction_dEps,d_mean_cluster_count_dEps,abs_d_mean_cluster_count_dEps,abs_d_sync_score_dEps_norm,abs_d_mean_spatial_var_dEps_norm,abs_d_mean_clusters_dEps_norm,abs_d_mean_switch_fraction_dEps_norm,abs_d_mean_dwell_dEps_norm,abs_d_switching_rate_dEps_norm,abs_d_dominant_fraction_dEps_norm,abs_d_mean_cluster_count_dEps_norm,reorganization_score
0.2,200,3.8,5000,1000,0.0470943598738361,0.9550237670275386,19.728,20.0,2.730845290381716,9,30,797634,199.45836459114776,0.9972918229557388,1,0,0,4000.0,4000,19.728,20.0,2.730845290381716,9,30,1.1145165784341042,1.0,0.3618524851736597,5,3588,0.897,19,0.14,3589,4000,0.01,1,0.025450982549742207,0.025450982549742207,-0.027906286906662636,0.027906286906662636,-67.21250000000003,67.21250000000003,0.09680545136284024,0.09680545136284024,0.6765021488607559,0.6765021488607559,-25.000000000000014,25.000000000000014,-0.5250000000000021,0.5250000000000021,0.01250000000000151,0.01250000000000151,-67.21250000000003,67.21250000000003,0.09327499623983135,0.09198080412386823,0.19524171283514644,0.029755886176513535,0.10641519393115272,0.12398042414355663,3.0376362309446606e-15,0.19524171283514644,0.10448634128565229
0.22,200,3.8,5000,1000,0.0465675592905689,0.9555044880980876,16.571,17.0,2.438433718598888,7,26,798714,199.728432108027,0.998642160540135,1,0,0,4000.0,4000,16.571,17.0,2.438433718598888,7,26,1.1487650775416427,1.0,0.407757801177192,4,3481,0.87025,16,0.1585,3482,4000,0.01,1,0.0667960219136674,0.0667960219136674,-0.07303128178783269,0.07303128178783269,-15.13125000000008,15.13125000000008,0.0592648162040561,0.0592648162040561,0.6840452879341505,0.6840452879341505,-25.000000000000014,25.000000000000014,-0.537500000000005,0.537500000000005,0.11874999999999947,0.11874999999999947,-15.13125000000008,15.13125000000008,0.2461052250865469,0.2419777632357193,0.04083825900053806,0.018190572487844607,0.1077231765692916,0.12724306688417727,0.03159851301115479,0.04083825900053806,0.10681435440947633
0.24,200,3.8,5000,1000,0.0441731086023228,0.9576956079040853,19.12275,19.0,2.7647210415338472,11,30,799530,199.9324831207802,0.999662415603901,1,0,0,4000.0,4000,19.12275,19.0,2.7647210415338472,11,30,1.1418783899514702,1.0,0.3992879904087365,4,3502,0.8755,19,0.14475,3503,4000,0.01,1,0.08168937355292982,0.08168937355292982,-0.08916973240560755,0.08916973240560755,82.56875000000002,82.56875000000002,0.005032508127033708,0.005032508127033708,-0.7236062218557429,0.7236062218557429,24.999999999999957,24.999999999999957,0.5625,0.5625,-0.35625000000000107,0.35625000000000107,82.56875000000002,82.56875000000002,0.3011578837450145,0.29562250100948756,0.24076784820915734,0.0014829794405134507,0.11458305469357435,0.1337683523654158,0.10223048327137818,0.24076784820915734,0.17879761886796233
0.26,200,3.8,5000,1000,0.0430007699943446,0.9587720630402048,19.87375,20.0,2.7562312924535197,10,30,798875,199.7686921730433,0.9988434608652164,1,0,0,4000.0,4000,19.87375,20.0,2.7562312924535197,10,30,1.1198208286674132,1.0,0.3751508413796924,5,3571,0.89275,20,0.14425,3572,4000,0.01,1,0.055104542075515184,0.055104542075515184,-0.05994238317506739,0.05994238317506739,-27.51875000000001,27.51875000000001,-0.022755688922234896,0.022755688922234896,-0.1701152538945827,0.1701152538945827,0.0,0.0,0.13125000000000142,0.13125000000000142,-0.22499999999999964,0.22499999999999964,-27.51875000000001,27.51875000000001,0.2028881531787472,0.19846983608341345,0.0775630454520192,0.006943040107854946,0.01860755040871429,0.021207177814029546,0.0631970260223072,0.0775630454520192,0.08330485931488814
0.28,200,3.8,5000,1000,0.0417754132753201,0.959899789587106,18.022,18.0,2.8924066104197728,9,28,798802,199.75043760940235,0.9987521880470116,1,0,0,4000.0,4000,18.022,18.0,2.8924066104197728,9,28,1.135073779795687,1.0,0.396388664053527,4,3523,0.88075,17,0.13575,3524,4000,0.01,1,0.05062785415161386,0.05062785415161386,-0.05495945670534996,0.05495945670534996,-191.97500000000042,191.97500000000042,0.00362590647662131,0.00362590647662131,1.6165610126602488,1.6165610126602488,50.0000000000003,50.0000000000003,-1.2187500000000036,1.2187500000000036,-0.7687500000000012,0.7687500000000012,-191.97500000000042,191.97500000000042,0.18634026132978868,0.1819064254968019,0.5651207174489067,0.0010496412923118664,0.2694216903929704,0.3050570962479615,0.22490706319702855,0.5651207174489067,0.2873654516068345
0.3,200,3.8,5000,1000,0.0408023917261306,0.9607971772062692,12.19475,11.0,4.525739987836244,5,26,798991,199.7976994248562,0.9989884971242812,1,0,0,4000.0,4000,12.19475,11.0,4.525739987836244,5,26,1.184483269173823,1.0,0.4927868581489566,7,3376,0.844,9,0.1135,3377,4000,0.01,1,0.02850931937322798,0.02850931937322798,-0.03090433588045749,0.03090433588045749,-24.656250000000682,24.656250000000682,-0.03063265816453864,0.03063265816453864,-0.3263536113017018,0.3263536113017018,25.000000000000355,25.000000000000355,0.2562499999999943,0.2562499999999943,-0.1250000000000031,0.1250000000000031,-24.656250000000682,24.656250000000682,0.10458001187930113,0.1019464169848081,0.06907669217514002,0.009369733737782066,0.04569932969469299,0.053833605220226705,0.03345724907063542,0.06907669217514002,0.06087996636721579
0.32,200,3.8,5000,1000,0.0405392398401018,0.961040162362035,17.03575,17.0,3.0517981482234378,8,28,797822,199.505376344086,0.99752688172043,1,0,0,4000.0,4000,17.03575,17.0,3.0517981482234378,8,28,1.1220196353436185,1.0,0.3782003070665394,5,3564,0.891,17,0.13075,3565,4000,0.01,1,0.001462031181809209,0.001462031181809209,-0.00158367756636002,0.00158367756636002,165.59374999999983,165.59374999999983,-0.05851462865716783,0.05851462865716783,-1.7491672684929647,1.7491672684929647,-74.99999999999994,74.99999999999994,1.3250000000000028,1.3250000000000028,0.9437499999999988,0.9437499999999988,165.59374999999983,165.59374999999983,0.00460082918720948,0.004483589612666854,0.4869091515499631,0.01795945880880325,0.2924156559887472,0.33278955954323053,0.27695167286245526,0.4869091515499631,0.23787738363787983
0.34,200,3.8,5000,1000,0.0407390446234762,0.9608556584535416,18.8185,19.0,2.7383494572460982,10,29,797119,199.3295823955989,0.9966479119779944,1,0,0,4000.0,4000,18.8185,19.0,2.7383494572460982,10,29,1.1145165784341042,1.0,0.3610816566057276,4,3588,0.897,19,0.15125,3589,4000,0.01,1,0.009417195864774186,0.009417195864774186,-0.010192209367412497,0.010192209367412497,2.837499999999693,2.837499999999693,0.00046886721681005383,0.00046886721681005383,-0.06280546517456642,0.06280546517456642,-24.999999999999943,24.999999999999943,0.05000000000000071,0.05000000000000071,0.18749999999999822,0.18749999999999822,2.837499999999693,2.837499999999693,0.03400676657934219,0.03309863092127779,0.004391409883451233,7.703789301597425e-05,0.0,0.0,0.052044609665429474,0.004391409883451233,0.016001233103245985
0.36,200,3.8,5000,1000,0.0401315514654053,0.961416850196626,17.14925,17.0,2.768749616252795,9,27,797837,199.50912728182047,0.9975456364091024,1,0,0,4000.0,4000,17.14925,17.0,2.768749616252795,9,27,1.119507416736636,1.0,0.3748197936459279,4,3572,0.893,17,0.13825,3573,4000,0.01,1,0.016672907977699936,0.016672907977699936,-0.018046530341647715,0.018046530341647715,-79.90625000000011,79.90625000000011,0.034539884971248824,0.034539884971248824,0.45767460740001553,0.45767460740001553,24.999999999999943,24.999999999999943,-0.3625000000000007,0.3625000000000007,0.018749999999998046,0.018749999999998046,-79.90625000000011,79.90625000000011,0.06082720646098541,0.05920665076983686,0.23287442791232055,0.010573450816122598,0.06847043085674524,0.08156606851549754,0.001858736059481558,0.23287442791232055,0.09353142491291377
0.38,200,3.8,5000,1000,0.0400171834098103,0.9615225747726496,15.62225,16.0,2.7694864031982536,6,25,798224,199.60590147536885,0.9980295073768444,1,0,0,4000.0,4000,15.62225,16.0,2.7694864031982536,6,25,1.1328235627301049,1.0,0.396353296611496,5,3530,0.8825,16,0.152,3531,4000,0.01,1,0.006614833366619166,0.006614833366619166,-0.007154444892935041,0.007154444892935041,-27.006249999999966,27.006249999999966,-0.011190297574401598,0.011190297574401598,0.276870828051031,0.276870828051031,24.99999999999997,24.99999999999997,-0.21875,0.21875,0.37499999999999956,0.37499999999999956,-27.006249999999966,27.006249999999966,0.023647949451738304,0.02300100243689725,0.07604365469065606,0.00338003755597586,0.03711899984144267,0.044045676998368484,0.10780669144981639,0.07604365469065606,0.04888595838944388
