shuffle_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score
279,0.0,0.47121231754690385,0.18,0.7656098373095557
280,0.0,0.435404941246778,0.18,0.7656098373095557
281,0.0,0.3604424358587263,0.18,0.7656098373095557
282,0.54,0.40641591962548695,0.18,0.7656098373095557
283,0.68,0.4608928337628775,0.18,0.7656098373095557
284,0.0,0.47503335336361463,0.18,0.7656098373095557
285,0.0,0.4271097422329404,0.18,0.7656098373095557
286,0.34,0.4603029249035675,0.18,0.7656098373095557
287,0.02,0.4141872182737891,0.18,0.7656098373095557
288,0.0,0.4394476463157748,0.18,0.7656098373095557
289,0.28,0.3816075076470156,0.18,0.7656098373095557
290,0.0,0.5200641527524881,0.18,0.7656098373095557
291,0.54,0.39627937006535185,0.18,0.7656098373095557
292,0.82,0.4032608994980777,0.18,0.7656098373095557
293,0.18,0.4155930834689545,0.18,0.7656098373095557
294,1.0,0.382713963193577,0.18,0.7656098373095557
295,1.0,0.6784036406259594,0.18,0.7656098373095557
296,1.0,0.4571991622990266,0.18,0.7656098373095557
297,1.0,0.44928129158616553,0.18,0.7656098373095557
298,0.0,0.5880161544958723,0.18,0.7656098373095557
299,1.0,0.3995071631039743,0.18,0.7656098373095557
300,0.06,0.3830486910470445,0.18,0.7656098373095557
301,0.0,0.4205468295712851,0.18,0.7656098373095557
302,0.9,0.40043324636268,0.18,0.7656098373095557
303,1.0,0.44366392117550957,0.18,0.7656098373095557
304,1.0,0.5063038292974281,0.18,0.7656098373095557
305,1.0,0.39963722766989984,0.18,0.7656098373095557
306,0.0,0.4934779161807167,0.18,0.7656098373095557
307,0.52,0.3840740026433031,0.18,0.7656098373095557
308,0.0,0.6039714707584589,0.18,0.7656098373095557
309,0.0,0.48787161154266606,0.18,0.7656098373095557
310,0.48,0.39916351843663583,0.18,0.7656098373095557
311,0.72,0.42086989315132795,0.18,0.7656098373095557
312,0.18,0.44573523990373903,0.18,0.7656098373095557
313,0.46,0.3730199999175003,0.18,0.7656098373095557
314,0.0,0.5275765279494663,0.18,0.7656098373095557
315,0.0,0.43209914846735287,0.18,0.7656098373095557
316,0.8,0.3556635320167002,0.18,0.7656098373095557
317,1.0,0.3988613849165147,0.18,0.7656098373095557
318,0.86,0.45607378328139425,0.18,0.7656098373095557
319,0.0,0.47329874033879754,0.18,0.7656098373095557
320,0.0,0.44226611162483115,0.18,0.7656098373095557
321,1.0,0.5530567690274921,0.18,0.7656098373095557
322,0.48,0.45978951615043406,0.18,0.7656098373095557
323,0.22,0.363549812358995,0.18,0.7656098373095557
324,0.0,0.5119623343363467,0.18,0.7656098373095557
325,0.8,0.43714099484704505,0.18,0.7656098373095557
326,1.0,0.4333529910509898,0.18,0.7656098373095557
327,0.0,0.48381873162661915,0.18,0.7656098373095557
328,0.44,0.40403980282920415,0.18,0.7656098373095557
329,0.5,0.43398065775199524,0.18,0.7656098373095557
330,0.6,0.39350301812846333,0.18,0.7656098373095557
331,0.06,0.4856810661615826,0.18,0.7656098373095557
332,0.04,0.41270245195848765,0.18,0.7656098373095557
333,0.9,0.39122408798396946,0.18,0.7656098373095557
334,0.14,0.49019124649629614,0.18,0.7656098373095557
335,0.52,0.418149749607452,0.18,0.7656098373095557
336,0.82,0.44184532270828253,0.18,0.7656098373095557
337,0.9,0.4636507123057663,0.18,0.7656098373095557
338,1.0,0.4672038503839659,0.18,0.7656098373095557
339,0.52,0.43641304093548167,0.18,0.7656098373095557
340,0.28,0.44020692293652136,0.18,0.7656098373095557
341,1.0,0.4520252593574242,0.18,0.7656098373095557
342,0.2,0.4942330801540887,0.18,0.7656098373095557
343,0.0,0.4657795569413211,0.18,0.7656098373095557
344,0.16,0.4124141575919502,0.18,0.7656098373095557
345,1.0,0.4919576817029045,0.18,0.7656098373095557
346,0.32,0.3948659105679441,0.18,0.7656098373095557
347,1.0,0.4609042205330404,0.18,0.7656098373095557
348,0.24,0.4191209555366664,0.18,0.7656098373095557
349,0.0,0.4406192020865095,0.18,0.7656098373095557
350,1.0,0.4823880471911861,0.18,0.7656098373095557
351,1.0,0.4531166476988353,0.18,0.7656098373095557
352,0.0,0.5214914536575856,0.18,0.7656098373095557
353,0.98,0.4446107456791329,0.18,0.7656098373095557
354,1.0,0.3435931960671483,0.18,0.7656098373095557
355,0.0,0.3804225173465612,0.18,0.7656098373095557
356,0.1,0.3193006779438974,0.18,0.7656098373095557
357,0.0,0.49206249659675116,0.18,0.7656098373095557
358,1.0,0.4964953603794753,0.18,0.7656098373095557
359,0.8,0.5062661803898154,0.18,0.7656098373095557
360,0.0,0.3458319694593892,0.18,0.7656098373095557
361,0.3,0.4370571478717976,0.18,0.7656098373095557
362,0.42,0.38497646347819603,0.18,0.7656098373095557
363,1.0,0.5910070478830208,0.18,0.7656098373095557
364,0.8,0.4057774827307604,0.18,0.7656098373095557
365,1.0,0.41527104340834664,0.18,0.7656098373095557
366,1.0,0.39099274096984477,0.18,0.7656098373095557
367,0.94,0.37215621685906203,0.18,0.7656098373095557
368,1.0,0.5101942584249853,0.18,0.7656098373095557
369,0.4,0.3724189238882224,0.18,0.7656098373095557
370,0.0,0.47311723010257606,0.18,0.7656098373095557
371,0.0,0.36018115474853,0.18,0.7656098373095557
372,0.0,0.4535779727995544,0.18,0.7656098373095557
373,1.0,0.5121061145267221,0.18,0.7656098373095557
374,1.0,0.4904354163001372,0.18,0.7656098373095557
375,0.0,0.3582241227360304,0.18,0.7656098373095557
376,1.0,0.45504995586352603,0.18,0.7656098373095557
377,0.9,0.37869910283296593,0.18,0.7656098373095557
378,1.0,0.4370231837787482,0.18,0.7656098373095557
379,0.0,0.6166908036229537,0.18,0.7656098373095557
380,0.0,0.5304623664856677,0.18,0.7656098373095557
381,1.0,0.3862815977553941,0.18,0.7656098373095557
382,1.0,0.405768784981797,0.18,0.7656098373095557
383,1.0,0.41278838740001683,0.18,0.7656098373095557
384,1.0,0.4282140287922892,0.18,0.7656098373095557
385,0.0,0.5555045663814023,0.18,0.7656098373095557
386,0.96,0.3934485177928996,0.18,0.7656098373095557
387,0.54,0.3705292885684397,0.18,0.7656098373095557
388,0.48,0.4579650921425198,0.18,0.7656098373095557
389,0.68,0.4280315902381036,0.18,0.7656098373095557
390,0.48,0.48926597725174886,0.18,0.7656098373095557
391,0.68,0.4255245927164338,0.18,0.7656098373095557
392,1.0,0.5729724251301066,0.18,0.7656098373095557
393,0.0,0.47428527747983573,0.18,0.7656098373095557
