epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell
0.62,200,3.8,5000,1000,0.0386790672595615,0.9627612912604352,13.6035,13.0,2.251174748881126,7,24,790093,197.5726431607902,0.987863215803951,1,0,0,4000.0,4000
0.64,200,3.8,5000,1000,0.0392400513512413,0.962241590573592,14.7615,15.0,2.521729119076829,7,24,788818,197.2538134533633,0.9862690672668168,1,0,0,4000.0,4000
0.66,200,3.8,5000,1000,0.0394007603736547,0.962092811670168,15.0365,15.0,2.553951399302657,8,25,789977,197.54363590897725,0.9877181795448864,1,0,0,4000.0,4000
0.68,200,3.8,5000,1000,0.0394334031066616,0.9620625977683582,14.917,15.0,2.6440709143288874,6,24,788635,197.20805201300325,0.9860402600650162,1,0,0,4000.0,4000
0.7,200,3.8,5000,1000,0.0393913668869986,0.962101506572085,14.775,15.0,2.6704634429252163,6,23,790248,197.61140285071264,0.9880570142535634,1,0,0,4000.0,4000
0.72,200,3.8,5000,1000,0.0394673906485904,0.9620311411366506,14.782,15.0,2.7097003524375163,6,25,789858,197.5138784696174,0.987569392348087,1,0,0,4000.0,4000
0.74,200,3.8,5000,1000,0.0391778449254179,0.962299191503424,13.702,14.0,2.577827767714515,4,25,790071,197.56714178544635,0.9878357089272318,1,0,0,4000.0,4000
0.76,200,3.8,5000,1000,0.0391247685380604,0.962348343795996,13.85175,14.0,2.411902140946021,5,25,788123,197.08002000500124,0.9854001000250062,1,0,0,4000.0,4000
0.78,200,3.8,5000,1000,0.0396166203269482,0.9618930483099728,15.157,15.0,2.7849328537686504,7,26,788045,197.06051512878216,0.985302575643911,1,0,0,4000.0,4000
0.8,200,3.8,5000,1000,0.0397585225742911,0.9617617728433188,15.21375,15.0,2.6271773707726704,6,27,789436,197.408352088022,0.98704176044011,1,0,0,4000.0,4000
0.82,200,3.8,5000,1000,0.0392417560267595,0.9622400122019836,14.52775,15.0,2.267648548055893,8,25,779705,194.9749937484371,0.9748749687421856,1,0,0,4000.0,4000
0.84,200,3.8,5000,1000,0.0399270622905238,0.9616059012806328,15.44675,15.0,2.661233630762245,6,25,788046,197.06076519129783,0.9853038259564892,1,0,0,4000.0,4000
0.86,200,3.8,5000,1000,0.0394667330155007,0.9620317497790358,14.8865,15.0,2.538428204617968,7,25,785122,196.3295823955989,0.9816479119779944,1,0,0,4000.0,4000
0.88,200,3.8,5000,1000,0.0397056367071859,0.9618106940028368,16.06375,16.0,2.3813202089387304,7,26,756145,189.08352088022005,0.9454176044011002,1,0,0,4000.0,4000
0.9,200,3.8,5000,1000,0.0399807718442,0.9615562393780588,16.1415,16.0,2.439462594507241,8,25,753910,188.52463115778943,0.9426231557889472,1,0,0,4000.0,4000
0.92,200,3.8,5000,1000,0.0402140660601979,0.9613405861617422,16.63775,17.0,2.255443401528844,10,26,729686,182.4671167791948,0.912335583895974,1,0,0,4000.0,4000
0.94,200,3.8,5000,1000,0.0430011498587128,0.9587717138523406,16.22725,16.0,2.682556138741555,7,25,782533,195.68217054263565,0.9784108527131784,1,0,0,4000.0,4000
0.96,200,3.8,5000,1000,0.0411697502117324,0.9604581767734222,16.31375,16.0,2.604862940252328,7,25,770326,192.6296574143536,0.963148287071768,1,0,0,4000.0,4000
0.98,200,3.8,5000,1000,0.040503928587218,0.961072776878206,14.6855,14.0,3.3873425793680805,7,27,710420,177.64941235308828,0.8882470617654413,1,0,0,4000.0,4000
1.0,200,3.8,5000,1000,0.0408912461654157,0.9607151599016162,18.988,19.0,2.840573181595574,11,30,762346,190.6341585396349,0.9531707926981744,1,0,0,4000.0,4000
