epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,reorganization_score
0.44,200,3.8,5000,1000,0.0389384271930357,0.9625209481391134,15.94675,16.0,2.40487306057929,7,25,796537,199.1840460115029,0.9959202300575144,1,0,0,4000.0,4000,15.94675,16.0,2.40487306057929,7,25,1.1428571428571428,1.0,0.4169862719807549,5,3499,0.87475,16,0.176,3500,4000,0.01,1,0.0717864114114386
0.46,200,3.8,5000,1000,0.0386924573696028,0.9627488800028566,14.803,15.0,2.22860741271315,7,24,793932,198.5326331582896,0.992663165791448,1,0,0,4000.0,4000,14.803,15.0,2.22860741271315,7,24,1.1500862564692351,1.0,0.4220949743516647,4,3477,0.86925,15,0.1855,3478,4000,0.01,1,0.0693682336438587
0.48,200,3.8,5000,1000,0.0398727116272055,0.961656161199949,15.8925,16.0,2.6744053077273087,6,26,791945,198.03575893973493,0.9901787946986746,1,0,0,4000.0,4000,15.8925,16.0,2.6744053077273087,6,26,1.11731843575419,1.0,0.36720530577253,4,3579,0.89475,16,0.157,3580,4000,0.01,1,0.0473248378725871
0.5,200,3.8,5000,1000,0.0389386136871902,0.9625207753622737,15.35975,15.0,2.460961181632088,6,25,793116,198.3285821455364,0.991642910727682,1,0,0,4000.0,4000,15.35975,15.0,2.460961181632088,6,25,1.1425307055127107,1.0,0.4020360840011107,4,3500,0.875,16,0.15675,3501,4000,0.01,1,0.0610634742912792
0.52,200,3.8,5000,1000,0.0385970498184907,0.9628373199931234,15.421,15.0,2.4011994919206527,8,25,791196,197.8484621155289,0.9892423105776444,1,0,0,4000.0,4000,15.421,15.0,2.4011994919206527,8,25,1.134108307343351,1.0,0.406764035546763,6,3526,0.8815,15,0.167,3527,4000,0.01,1,0.0307230127624291
0.54,200,3.8,5000,1000,0.0390723419277496,0.9623968992810834,15.29175,15.0,2.53665763111619,7,24,789215,197.353088272068,0.98676544136034,1,0,0,4000.0,4000,15.29175,15.0,2.53665763111619,7,24,1.1232799775344005,1.0,0.3839229400377401,5,3560,0.89,15,0.161,3561,4000,0.01,1,0.0457769982097987
0.56,200,3.8,5000,1000,0.0391000449372009,0.9623712412219518,14.57275,15.0,2.540414816029068,7,25,791073,197.81770442610653,0.9890885221305328,1,0,0,4000.0,4000,14.57275,15.0,2.540414816029068,7,25,1.125809175344779,1.0,0.4042983583601629,6,3552,0.888,15,0.15175,3553,4000,0.01,1,0.0285378740555663
0.58,200,3.8,5000,1000,0.0388348583806582,0.9626169086767128,14.771,15.0,2.527559890487266,7,24,789372,197.39234808702176,0.9869617404351088,1,0,0,4000.0,4000,14.771,15.0,2.527559890487266,7,24,1.1376564277588168,1.0,0.4045300539539327,5,3515,0.87875,15,0.1595,3516,4000,0.01,1,0.0285246680358682
0.6,200,3.8,5000,1000,0.0393477631572764,0.96214186959161,15.48925,16.0,2.598438846211317,7,24,789906,197.5258814703676,0.987629407351838,1,0,0,4000.0,4000,15.48925,16.0,2.598438846211317,7,24,1.119507416736636,1.0,0.391617431942511,6,3572,0.893,16,0.154,3573,4000,0.01,1,0.1024175206319884
0.62,200,3.8,5000,1000,0.0386790672595615,0.9627612912604352,13.6035,13.0,2.251174748881126,7,24,790093,197.5726431607902,0.987863215803951,1,0,0,4000.0,4000,13.6035,13.0,2.251174748881126,7,24,1.1747430249632893,1.0,0.5034471188829612,10,3404,0.851,13,0.201,3405,4000,0.01,1,0.043735876730219
