seed,K,R_before,R_after_final,R_min_after_perturb,recovery_time,cluster_final
6,0.5,0.06194726588129546,0.12161740350564718,0.004749938633821519,0.0,1
6,0.525,0.0940444448183704,0.17228076046383467,0.056910086817077495,1.98,1
6,0.55,0.3615156161994497,0.32584151546807977,0.1480698953063431,0.0,1
6,0.575,0.2681053049272798,0.3947959139870702,0.17829499433858653,0.0,4
6,0.6,0.4123513467358764,0.5746948565210774,0.225822912118031,2.32,1
6,0.625,0.45662812118139745,0.43994072610473867,0.3675534158307126,0.2,2
6,0.65,0.6257725917993471,0.6240979835517695,0.5387305456346582,1.5,1
6,0.675,0.7010906470175199,0.6921601494497496,0.5969044579522313,1.96,1
6,0.7,0.7456830531676489,0.7405636404981345,0.6765357290005771,1.8800000000000001,1
6,0.725,0.774405176563918,0.7752894523802105,0.7219629453508218,0.62,1
6,0.75,0.80248947309453,0.8015251662073846,0.7210044780937968,1.22,1
6,0.775,0.8215382553684427,0.8215672718053517,0.7631312754234001,0.28,1
6,0.8,0.8380876431496506,0.8380949662189499,0.761419070878622,0.52,1
6,0.825,0.8520530112443072,0.8520533176557928,0.7947961041765622,0.16,1
6,0.85,0.8639916921703167,0.8639916994925219,0.7922662461370884,0.44,1
6,0.875,0.874335854500021,0.8743358540590074,0.7778211491912418,0.72,1
6,0.9,0.8833928644437523,0.8833928644516394,0.8102881289440881,0.44,1
6,0.925,0.891391865407161,0.891391865407165,0.8325480353560665,0.16,1
6,0.95,0.898508454439739,0.8985084544396835,0.8171750569262107,0.48,1
6,0.975,0.9048801268488159,0.9048801268488158,0.8258224905096603,0.36,1
6,1.0,0.910616466704504,0.9106164667045041,0.833205460838532,0.36,1
6,1.025,0.9158061200906044,0.9158061200906045,0.8393265523319536,0.28,1
6,1.05,0.9205217110166132,0.9205217110166131,0.8254740653145204,0.54,1
6,1.075,0.9248233949264835,0.9248233949264835,0.8618701329209721,0.16,1
6,1.1,0.9287614825150927,0.9287614825150925,0.8471978307266356,0.28,1
6,1.125,0.9323784126257906,0.9323784126257907,0.8558791989648714,0.3,1
6,1.15,0.9357102592481416,0.9357102592481417,0.8641406263203957,0.18,1
6,1.175,0.9387878986300238,0.9387878986300238,0.8620140788339985,0.24,1
6,1.2,0.9416379242840599,0.9416379242840599,0.8558258720505454,0.24,1
7,0.4,0.06002892786086804,0.12473567983660495,0.007066628778114949,0.0,1
7,0.425,0.2743932983299752,0.17414821777177014,0.0003676829289216235,0.12,1
7,0.45,0.037467034470999167,0.21559419928888507,0.043816074196244975,0.0,1
7,0.475,0.2872551886233029,0.18198822536227574,0.01955424262806736,0.0,1
