run,direction,K,R_mean,R_std
7,forward,0.7,0.9986830463890808,1.0225287451705207e-12
7,forward,0.75,0.999033612235416,3.1052728114501787e-13
7,forward,0.8,0.997973843107554,6.629072132222628e-13
7,forward,0.8500000000000001,0.999144850614088,5.802660773809227e-14
7,forward,0.9000000000000001,0.9987269117761738,2.1151029270675895e-14
7,forward,0.95,0.9976645833829267,2.6418093193993807e-14
7,forward,1.0,0.9987646926570816,2.5026029375199715e-15
7,forward,1.05,0.9974958289435206,2.188294361763157e-16
7,forward,1.1,0.999438139630842,9.826153259471044e-17
7,forward,1.1500000000000001,0.9973467091528028,2.3577540566139035e-16
7,forward,1.2,0.9992772342603257,1.3548208857006381e-16
8,forward,0.2,0.9738342485435627,0.0001822482989204447
8,forward,0.25,0.9706886129561206,6.194500203854449e-06
8,forward,0.30000000000000004,0.9881660017689209,7.98022655079606e-07
8,forward,0.35000000000000003,0.9816098712702207,1.1192219688423124e-07
8,forward,0.4,0.9759150518863965,1.768645057216163e-07
8,forward,0.45,0.9945481826527259,9.274391667136793e-09
8,forward,0.5,0.9973754491786051,3.8417462686232483e-10
8,forward,0.55,0.9975763317496321,2.3905736310099887e-10
8,forward,0.6000000000000001,0.997236717175338,2.4570529394870256e-10
8,forward,0.65,0.9945195767465261,1.5492983819457908e-11
8,forward,0.7,0.9990584122301038,3.4607733276230106e-12
8,forward,0.75,0.998326673065002,3.5458303167006916e-12
8,forward,0.8,0.998002455863611,9.452587176450418e-14
8,forward,0.8500000000000001,0.9991721816462471,8.288527482974787e-15
8,forward,0.9000000000000001,0.9964919650331088,2.7180552106042674e-13
8,forward,0.95,0.9976190217779477,1.5042686220613485e-14
8,forward,1.0,0.9988724114542682,4.0400894846838765e-15
8,forward,1.05,0.9989573935050032,2.090101120804626e-16
8,forward,1.1,0.9993991718885531,1.8657583382676107e-16
8,forward,1.1500000000000001,0.9988979405318948,2.2409368871802045e-16
8,forward,1.2,0.9995423375208395,1.7786683001560746e-16
9,forward,0.2,0.9616522570568868,0.00031566945882727633
