K,run,global_R,outsider_R,outsider_R_std,outsider_recruitment_score
0.8499999999999999,4,0.956272190315125,0.8483294420228333,4.63738599790225e-11,0.8871213140082973
0.8499999999999999,5,0.9871272140714398,0.942403347609097,1.781902856611634e-10,0.9546929050017451
0.8499999999999999,6,0.9961285735002392,0.9825114513855744,8.450993217627167e-14,0.9863299553110874
0.8499999999999999,7,0.986091617729243,0.9552452254144694,1.2024335423911059e-11,0.9687185330844056
0.8499999999999999,8,0.9793928039790359,0.8954019691061077,8.023369395265716e-11,0.9142419318044731
0.8499999999999999,9,0.9827368052055135,0.9515950628551315,6.574561638407308e-12,0.9683112078570846
0.8499999999999999,10,0.9900124543008529,0.9562304705678679,5.9492578660858365e-12,0.9658772133752522
0.8499999999999999,11,0.9712881850200332,0.9697769889766328,9.426595172552e-13,0.9984441321662245
0.8499999999999999,12,0.9863860216534767,0.9553821826260478,1.8171826699654928e-11,0.9685682498050553
0.8499999999999999,13,0.9888408333205163,0.9478390123650822,1.022170166118167e-11,0.9585354694357544
0.8499999999999999,14,0.941429398784307,0.9505706625695831,7.554838388630254e-11,1.0097099833466756
0.8499999999999999,15,0.9469973694530609,0.9447315234338957,1.8752305571824693e-11,0.997607336521461
0.8499999999999999,16,0.981891775773699,0.9323368927321916,1.0277847751989095e-10,0.9495312169170484
0.8499999999999999,17,0.9916585590898113,0.9684130539294918,7.271933243774039e-12,0.9765589628121278
0.8499999999999999,18,0.989221067208222,0.9675680326239616,9.034547992651588e-14,0.9781110256311588
0.8499999999999999,19,0.9766886814036695,0.9593262316425905,4.913413221684199e-12,0.9822231483863328
0.8999999999999999,0,0.9839162414845548,0.9485671719924335,4.187594456693125e-12,0.964073090774729
0.8999999999999999,1,0.9843029731484978,0.9271939226488891,4.776551212070637e-12,0.9419802113185989
0.8999999999999999,2,0.9716881861953407,0.873929218638806,3.691116306121152e-11,0.8993926560533676
0.8999999999999999,3,0.99229680074478,0.9750081959890554,2.3358066891557e-13,0.982577183818661
0.8999999999999999,4,0.9811148760599759,0.9676292998435716,2.2780547515017822e-12,0.9862548448235269
0.8999999999999999,5,0.9661364801337221,0.9757196139364468,4.205230526284155e-12,1.0099190269685174
0.8999999999999999,6,0.9686939956315288,0.9693024421676023,3.3493789663121046e-13,1.0006281101543075
0.8999999999999999,7,0.984918531209574,0.9843979521450095,2.274690107667165e-13,0.9994714496183511
0.8999999999999999,8,0.9853052551883095,0.9648988735453937,3.719253723751151e-12,0.9792892796050346
0.8999999999999999,9,0.9733542132674036,0.9682983878290347,9.319637898603053e-13,0.9948057702217242
0.8999999999999999,10,0.9590441738346297,0.9769582777048724,1.9762592662739007e-13,1.018679122774498
0.8999999999999999,11,0.9635481309821414,0.9712598559880127,5.137404698394105e-12,1.0080034663105026
0.8999999999999999,12,0.9894893469381362,0.9768097923818541,1.1291035422379726e-13,0.9871857594055916
0.8999999999999999,13,0.9955453761013374,0.9787052818861173,5.638279063194525e-13,0.9830845538330449
0.8999999999999999,14,0.9900702731810777,0.9501895224850923,3.784715081126503e-12,0.9597192726847469
0.8999999999999999,15,0.9922011730724601,0.9838854031842379,1.0035308367330584e-13,0.9916188671058883
0.8999999999999999,16,0.983226893194185,0.9465518247470801,4.587809521831591e-12,0.9626992826356466
0.8999999999999999,17,0.9907766338875497,0.9571282195645306,2.917102704849477e-14,0.9660383448972172
0.8999999999999999,18,0.9552673982705139,0.9111277901026378,1.327872848296371e-12,0.95379345275601
0.8999999999999999,19,0.9944302605313633,0.9784604175580813,6.698769777087126e-12,0.9839407109697843
0.95,0,0.9662290411964114,0.8367635724413438,4.095786092379535e-12,0.8660095451119686
0.95,1,0.9413196061441523,0.9062243451007391,1.5670693075967995e-11,0.9627169552027779
0.95,2,0.9828254487257355,0.9297694053034194,5.014486492827399e-13,0.946016819678356
0.95,3,0.9498581635240411,0.8639877768086986,5.541495362255656e-12,0.909596621881243
0.95,4,0.974447162287736,0.9575346156624422,1.7701928742901215e-12,0.9826439572294815
0.95,5,0.9652729248029371,0.9250562517110251,4.041694742030699e-12,0.958336474524984
0.95,6,0.9773726970736596,0.9307286518781865,3.7724829815666836e-13,0.9522760914684012
0.95,7,0.9395297290726841,0.9542560335309233,5.861690963397528e-12,1.0156741229165345
0.95,8,0.9717059185853743,0.9838196659153855,1.0602184121379847e-12,1.0124664747814176
0.95,9,0.9541777578135145,0.7971316851005706,3.5448792088609745e-13,0.8354121426246109
0.95,10,0.9621932320129529,0.9098314381353368,8.143529836626613e-11,0.9455807917407418
0.95,11,0.9573399889902532,0.9785112715143898,9.788567869163785e-13,1.0221146956844922
0.95,12,0.9828548648156142,0.9751251758106139,9.791456429549357e-14,0.9921354726087228
0.95,13,0.9852921617637321,0.9227574935379718,7.470406839500532e-13,0.9365318525271163
0.95,14,0.9871691857483859,0.9378734387815904,2.438556737936442e-14,0.9500635274283062
0.95,15,0.9797620370244596,0.8941309886652608,1.3233641358808825e-12,0.9126001568501539
0.95,16,0.9810000251674915,0.954193763896989,5.640200535064197e-13,0.9726745559798549
0.95,17,0.9889339731783335,0.9720819919025329,2.5527004923754345e-12,0.9829594475123319
0.95,18,0.9906944238171436,0.9803703679099524,6.867192488935341e-14,0.9895789704070381
0.95,19,0.9800507283687081,0.9101333907021029,2.849681217171292e-11,0.9286594707358555
1.0,0,0.951975883254528,0.9889704503317304,3.4087395421154884e-13,1.0388608238159247
1.0,1,0.9806133435844296,0.944428787227344,4.76363106433488e-13,0.9631000775231311
1.0,2,0.9584415409572018,0.9390417829235344,1.9521598844771622e-13,0.9797590596759063
1.0,3,0.9935401367503331,0.976169689248533,1.6992001975293848e-13,0.9825166122029072
1.0,4,0.9832790989228486,0.9576406267263402,7.734379495242215e-14,0.9739255393249298
1.0,5,0.994006211074696,0.9750692967827991,1.8262942753639857e-13,0.9809488974194601
1.0,6,0.9908256030901887,0.9927444247118855,1.998031225549672e-14,1.0019365886536544
1.0,7,0.9595109739660235,0.9592024945928808,4.411892408855195e-13,0.9996785035476277
1.0,8,0.9935408125078732,0.9736925372799108,1.4190779037018145e-13,0.9800226875644475
1.0,9,0.9950371046659183,0.9825338143132477,5.5689096469002895e-15,0.9874343476288193
1.0,10,0.9952783938678856,0.9811069061772958,1.1528089167767583e-13,0.9857612826934765
1.0,11,0.997408239135017,0.9890006523605334,8.495209175755833e-15,0.9915705661477526
1.0,12,0.9697360840541682,0.8893873208772176,3.427440471867142e-12,0.9171436801217562
1.0,13,0.992441079349405,0.9744456593053549,7.288988308285836e-15,0.9818675179620449
1.0,14,0.9614075389110164,0.9142546001504269,4.011446321507937e-13,0.9509542656437349
1.0,15,0.9674340597859238,0.9484674695042561,5.443098407174933e-13,0.980394952926461
1.0,16,0.9911352513465912,0.9544707618934163,1.1215655865125775e-13,0.9630075820587309
1.0,17,0.9668854423045564,0.9626861366753932,1.2174818977461486e-12,0.9956568736621477
