K_base,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,Kij_mean_final,Kij_std_final,Kij_density_weak,Kij_density_strong,reorganization_score,adaptive_network_score,adaptive_reorganization_score
0.3,13,0.0691005447026698,0.0371313473255522,0.0334782608695652,0.1846526397144031,0,0.967391304347826,0.0226086956521739,0.758695652173913,0.3155120813876477,0.1230324460268517,0.0512699846101013,0.0,0.0001361333320867,0.0388182231241454,0.0001414177861462
0.3,14,0.0833217477156003,0.045057205748417,0.0252173913043478,0.1567848030905777,0,0.974782608695652,0.0130434782608695,0.7578260869565218,0.3187211230755982,0.1303557058190467,0.056077376116978,0.0,5.157005260731537e-05,0.0415471169579588,5.37126396145196e-05
0.3,15,0.0693975814033141,0.0341326602156603,0.0291304347826086,0.1732656428342546,0,0.9717391304347828,0.0226086956521739,0.8582608695652174,0.3158068335392843,0.1239597564854295,0.0511041812511932,0.0,0.0001107065971045,0.0391473381819642,0.0001150404657003
0.3,16,0.0611083964149592,0.029729465217161,0.0265217391304347,0.1606808528852518,0,0.9734782608695652,0.0191304347826086,0.8160869565217391,0.3160447266265604,0.1253132475785283,0.0531501826838614,0.0,8.152503434547055e-05,0.0396045910736424,8.475379999298756e-05
0.3,17,0.0552030087165496,0.0476873962569829,0.0321739130434782,0.181322593180584,0,0.9686956521739132,0.0239130434782608,0.7139130434782609,0.3160499341214821,0.1221436544588635,0.0560049782202862,0.0,0.0001357348769418,0.0386034939450809,0.0001409747174419
0.3,18,0.0986026493063841,0.0343820588318434,0.0443478260869565,0.205866695723999,0,0.9556521739130436,0.0308695652173913,0.5260869565217391,0.3195580929721983,0.1331702021636186,0.050178117048346,0.0,0.0002818311264138,0.042555615844128,0.0002938246235624
0.3,19,0.0853463610617167,0.0321489421119594,0.0443478260869565,0.2100481536293528,0,0.9565217391304348,0.0304347826086956,0.6978260869565217,0.3170131046489155,0.125703520140789,0.0514270465346786,0.0,0.0002779465262224,0.039849663185129,0.0002890226016758
0.4,0,0.0604632894155974,0.0364434218078241,0.0347826086956521,0.183228760919178,0,0.9652173913043478,0.0243478260869565,0.6656521739130434,0.412707241827702,0.1278744453972715,0.0218846680529492,0.0,0.0001551729456771,0.052774709660155,0.0001633621528323
0.4,1,0.0907506195315309,0.0373233210550756,0.0352173913043478,0.1866726864633805,0,0.9652173913043478,0.0247826086956521,0.6673913043478261,0.41721092129079,0.1435029853595016,0.0278446375636575,0.0,0.0001609125679812,0.0598710127298164,0.0001705465663872
0.4,2,0.0789577349900874,0.042619046168858,0.0434782608695652,0.2060520975838745,0,0.9569565217391304,0.0291304347826086,0.5121739130434783,0.414315211922204,0.133149117934414,0.0211453186367667,0.0,0.0002583636314162,0.0551657050142512,0.0002726164432933
