init_kind,K,R_mean_mean,R_mean_std,cluster_mean_mean,cluster_mean_std,cluster_final_mean,single_cluster_fraction_mean,multi_cluster_fraction_mean
random,1.025,0.9116658107250528,0.007694760887041162,1.0595,0.11224081254160628,1.05,0.9404999999999999,0.0595
random,1.05,0.9167089305322872,0.007181301272995218,1.049425,0.09531323360373423,1.05,0.9505750000000001,0.049425000000000004
random,1.075,0.921298454363477,0.006722773244324933,1.0407,0.08040512552397587,1.0,0.9593,0.0407
random,1.1,0.9254910349701069,0.006311044401695493,1.0344250000000001,0.07253679193492449,1.0,0.965575,0.034425
random,1.125,0.9293342092274928,0.0059395137125943884,1.027275,0.06820990725230774,1.05,0.972725,0.027275
random,1.15,0.9328681940096397,0.00560276332001304,1.0226250000000001,0.0618835653295343,1.0,0.9796250000000001,0.020374999999999997
random,1.175,0.9361272646156003,0.005296302688978193,1.0188000000000001,0.05557034423048624,1.0,0.9812,0.0188
random,1.2,0.9391408270844822,0.005016377252756212,1.015475,0.04850487631481797,1.05,0.984525,0.015475
three_clusters,0.4,0.1112823852362109,0.04589820470627372,0.0018,0.004780442613288791,0.0,1.0,0.0
three_clusters,0.425,0.12751528699633094,0.051231149171016926,0.002075,0.0024988155088698366,0.0,0.9999750000000001,2.5e-05
three_clusters,0.45,0.15074667530229593,0.060046574343279716,0.0052499999999999995,0.006159075460352453,0.0,1.0,0.0
three_clusters,0.475,0.18620904929166066,0.0676615692283226,0.01005,0.013420232173064197,0.0,0.9999750000000001,2.5e-05
three_clusters,0.5,0.21068780594110983,0.08151469513029805,0.0252,0.0400057232747621,0.0,0.9982,0.0018000000000000002
three_clusters,0.525,0.2716110222580189,0.08057456838781013,0.114075,0.20402807308128743,0.1,0.9798500000000001,0.02015
three_clusters,0.55,0.31751355924161373,0.08731139031971288,0.256,0.3535708073207878,0.4,0.9431750000000001,0.056825
three_clusters,0.575,0.37312516144887464,0.08536912767792941,0.67895,0.46503403667168053,0.45,0.8112,0.18880000000000002
three_clusters,0.6,0.41653265210510587,0.07824569687213671,1.184525,0.7120405901166619,1.55,0.64345,0.35655000000000003
three_clusters,0.625,0.4692799657170809,0.0843029759644693,1.649025,0.5213424845379576,1.8,0.46420000000000006,0.5357999999999999
three_clusters,0.65,0.5401793259241914,0.10543047624279986,2.07275,0.7320389244036858,2.05,0.36455000000000004,0.63545
three_clusters,0.675,0.6319675361833473,0.09486933261593657,1.8375,0.7272905377603847,1.95,0.522475,0.477525
three_clusters,0.7,0.7110538472400548,0.045414586643938486,1.1979,0.28854214323223676,1.1,0.8435750000000001,0.15642499999999998
three_clusters,0.725,0.7537927917293396,0.032179177074438306,1.0040749999999998,0.010906631251819083,1.0,0.9959250000000001,0.004075
three_clusters,0.75,0.7841419031749568,0.025506008206738172,1.003225,0.0144226384548736,1.0,0.9967750000000001,0.003225
three_clusters,0.775,0.8075677377773657,0.02124721536722647,1.01045,0.037569899765916986,1.0,0.98955,0.010450000000000001
three_clusters,0.8,0.8264408424401462,0.018246722191620435,1.022325,0.06920227312208142,1.0,0.977675,0.022324999999999998
three_clusters,0.825,0.8420932941031763,0.015985437401897958,1.028,0.08422213735742307,1.0,0.9720000000000001,0.027999999999999997
three_clusters,0.85,0.8553434359207935,0.01420511571386506,1.036275,0.089436315919559,1.0,0.9637249999999999,0.036275
three_clusters,0.875,0.8667329628656052,0.012760160095034733,1.050375,0.09714095496534375,1.05,0.950475,0.049525
three_clusters,0.9,0.8766414308445608,0.011560796038660339,1.0614000000000001,0.11076725242835231,1.1,0.9385999999999999,0.061399999999999996
three_clusters,0.925,0.8853460170360948,0.01054793720971657,1.0564,0.08841344265497914,1.05,0.9436,0.056400000000000006
