seed,K,init_kind,R_mean,R_std,cluster_mean,cluster_std,cluster_final,single_cluster_fraction,multi_cluster_fraction
6,0.975,random,0.8921891860742621,9.582504975570487e-15,1.086,0.2803640490505157,1,0.914,0.086
6,1.0,random,0.8989987834423866,1.887599540918202e-15,1.0,0.0,1,1.0,0.0
6,1.025,random,0.905117169016174,3.6855391344787394e-16,1.0775,0.26738315204963836,1,0.9225,0.0775
6,1.05,random,0.9106435244819482,3.098795351151671e-16,1.053,0.22403347964087864,1,0.947,0.053
6,1.075,random,0.9156584318880013,1.0053497077208613e-16,1.081,0.27283511504203417,1,0.919,0.081
6,1.1,random,0.9202281869258508,1.8666940107529509e-16,1.067,0.25002199903208516,1,0.933,0.067
6,1.125,random,0.924407925900432,1.1749496091904414e-16,1.0,0.0,1,1.0,0.0
6,1.15,random,0.9282439409332764,1.7160040348933646e-16,1.0,0.0,1,1.0,0.0
6,1.175,random,0.9317754256468032,1.0123748708878107e-16,1.0,0.0,1,1.0,0.0
6,1.2,random,0.9350358125189987,1.3793152780504852e-16,1.0,0.0,1,1.0,0.0
7,0.4,random,0.22138114639596626,0.038301328703211374,0.007,0.08337265738837882,0,1.0,0.0
7,0.425,random,0.23744995481079642,0.045353218714934716,0.0215,0.1450439588538592,0,1.0,0.0
7,0.45,random,0.25314446047110745,0.06159015967067314,0.0285,0.16639636414297038,0,1.0,0.0
7,0.475,random,0.3435959970156557,0.04816469191725563,0.0645,0.255616411836173,0,0.9975,0.0025
7,0.5,random,0.37094070789851197,0.06374565767578737,0.22,0.532541078227774,0,0.96,0.04
7,0.525,random,0.401415745737379,0.07338675794426551,0.5595,0.8828701773194064,0,0.8565,0.1435
7,0.55,random,0.44231937306131747,0.048159362606996894,0.922,0.9954476380001109,1,0.765,0.235
7,0.575,random,0.4606822366241413,0.09980922206720413,1.6225,1.3583054700618709,0,0.4985,0.5015
7,0.6,random,0.4746323429136935,0.02725180680934564,2.548,1.1952807201657694,1,0.1935,0.8065
