replication,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
smaller_N,0.425,0.12681791517080704,0.03507706647513826,0.055598812435129555,0.01157837880604794,0.39645,0.13226203998964414,0.6160803212133111,0.10370102760501965,0.67665,0.08378214142776622,0.1734,0.035273376803350014,0.0995,0.0,0.038472925266798075,0.024855068480257293
smaller_N,0.45,0.15520331988467667,0.042646447504395744,0.06331535710855514,0.013020452898623839,0.48469999999999996,0.17089002311428245,0.6747707043683342,0.12809435119066703,0.61895,0.09589011361391166,0.199,0.0407280956807187,0.0995,0.0,0.05749624807812696,0.03888173767851258
smaller_N,0.475,0.17592913156666914,0.06513338988493603,0.07001550223694984,0.015888500776676806,0.65435,0.3504127764350051,0.7724740669680052,0.1942212108278993,0.5669500000000001,0.14260949983940216,0.22960000000000003,0.07626955122750129,0.0995,0.0,0.09546276036377514,0.08346119599794494
smaller_N,0.5,0.2150291805600289,0.09214012101075994,0.060372426275954495,0.0218015497436999,0.94005,0.6243779326479899,0.9090938609184569,0.30865537603607407,0.50255,0.17252833100682335,0.28005,0.105854053089882,0.0995,0.0,0.1696700851887155,0.15692467425957865
smaller_N,0.525,0.27451081080440054,0.10092005823763522,0.07027928230867536,0.020183208082862777,1.4757500000000001,0.9676716686631542,1.2307777673694278,0.47708421379729693,0.40445000000000003,0.17359890712661633,0.34095,0.11734290917364087,0.0995,0.0,0.3227587462791444,0.2661019488234319
smaller_N,0.55,0.31911544052041363,0.08989513939700637,0.08871910556296078,0.016266362351426575,2.13105,1.1238841243651412,1.5234870216677554,0.4086008916750918,0.2993,0.11846757643619904,0.3949,0.08996289358520111,0.0995,0.0,0.46844429848835223,0.24833045843073115
smaller_N,0.575,0.35504033583564243,0.08797646537319986,0.09176021762007928,0.03515639163228415,2.73945,1.1055707286786816,1.6852530283697227,0.24364809635272988,0.28125,0.09264155834901165,0.43034999999999995,0.08571789972539767,0.0995,0.0,0.5428203373382742,0.1941038810642787
smaller_N,0.6,0.3979116405462932,0.07491714153134567,0.0844678459412727,0.04485119052926663,3.5947000000000005,1.1571392694437816,1.7675956230983623,0.3104896906563935,0.2333,0.05404997687326054,0.44055,0.05423173015454657,0.0995,0.0,0.6013098066793469,0.15329430317873924
smaller_N,0.625,0.46209923604554576,0.12322031699351452,0.06682309240367494,0.05027438329445169,3.8683,0.9826622060052534,1.604669066933491,0.33521102081259485,0.26034999999999997,0.06350811409226033,0.3685,0.09876149722099871,0.0995,0.0,0.4670024773715718,0.22913338648832385
smaller_N,0.65,0.5288996715942327,0.12997577744787908,0.06061231581651829,0.0566283761758792,4.0499,0.8182890619389268,1.4618517005692824,0.39757921019687953,0.27815,0.05995602555206608,0.29555,0.15214602817322867,0.0995,0.0,0.35156340648903717,0.26000214564597135
smaller_N,0.675,0.6335508441437316,0.09893342899088618,0.019371511475718528,0.04311070861449695,3.3359,1.1079644699477809,1.0769112734551334,0.34833980712523804,0.3657,0.08991947014474179,0.15855,0.12391741201300163,0.0995,0.0,0.14514419025168304,0.18450387509212954
smaller_N,0.7,0.6939517822592529,0.09670539842728133,0.008041056884138592,0.019036834611932455,2.22355,1.1284775744830338,0.6949891872755317,0.3703601168983986,0.538,0.2051499451620692,0.0759,0.1142350889856333,0.18955000000000002,0.28476310329816257,0.055883679399318945,0.11984130586648305
smaller_N,0.725,0.7498647999987476,0.04786369360285139,0.0009763065209834252,0.0011433125956204545,1.5177999999999998,0.4743035947576194,0.42090808704737237,0.2862633446828708,0.7041999999999999,0.21995911236207308,0.018349999999999998,0.02382814628869723,0.41025,0.41452410799748557,0.006783799895815602,0.013462733691351557
smaller_N,0.75,0.7821559856407903,0.035755250180351104,0.0003603218084633998,0.0009124475331814616,1.207,0.4104293822057307,0.12317096222097206,0.23279190532309194,0.9358000000000001,0.16886421237853277,0.0042,0.011055918475338596,0.8737999999999999,0.281766372885213,0.0014229662460541724,0.004479836962980819
smaller_N,0.775,0.8063408960871319,0.028933501286679764,0.000148190250833702,0.0004418962785606997,1.2801500000000001,0.45430802387318187,0.06819807548604287,0.21566125057599014,0.94955,0.15953690795549474,0.0026,0.008221921916437785,0.9099499999999999,0.28476310329816257,0.0008945541905563531,0.002828828732606363
