seed,K,outsider_fraction,local_boost,R,state
7,1.2,0.05,1.0,0.971160358597433,dual_cluster
8,0.4,0.05,1.0,0.8553007040843269,dual_cluster
8,0.42500000000000004,0.05,1.0,0.8804199094764541,dual_cluster
8,0.45,0.05,1.0,0.857382907208693,dual_cluster
8,0.47500000000000003,0.05,1.0,0.8481075195941613,dual_cluster
8,0.5,0.05,1.0,0.8480961935853306,dual_cluster
8,0.525,0.05,1.0,0.8497553188617393,dual_cluster
8,0.55,0.05,1.0,0.855498014596786,dual_cluster
8,0.575,0.05,1.0,0.9378466003021692,dual_cluster
8,0.6,0.05,1.0,0.8889184608710029,dual_cluster
8,0.625,0.05,1.0,0.9070033074674799,dual_cluster
8,0.65,0.05,1.0,0.9107529293746804,dual_cluster
8,0.675,0.05,1.0,0.9155532225822732,dual_cluster
8,0.7,0.05,1.0,0.9200421515274455,dual_cluster
8,0.725,0.05,1.0,0.9242562925732164,dual_cluster
8,0.75,0.05,1.0,0.9282209356631445,dual_cluster
8,0.7749999999999999,0.05,1.0,0.9319538466362777,dual_cluster
8,0.8,0.05,1.0,0.9354681123889066,dual_cluster
8,0.825,0.05,1.0,0.9387742219759913,dual_cluster
8,0.85,0.05,1.0,0.9418814783853815,dual_cluster
8,0.875,0.05,1.0,0.9447988551858743,dual_cluster
8,0.8999999999999999,0.05,1.0,0.9475354303291944,dual_cluster
8,0.9249999999999999,0.05,1.0,0.9501005296329209,dual_cluster
8,0.95,0.05,1.0,0.9525036948938344,dual_cluster
8,0.975,0.05,1.0,0.9547545642450372,dual_cluster
8,1.0,0.05,1.0,0.9568627238886103,dual_cluster
8,1.025,0.05,1.0,0.9588375662381263,dual_cluster
8,1.0499999999999998,0.05,1.0,0.9606881718659451,dual_cluster
8,1.075,0.05,1.0,0.9624232212073565,dual_cluster
8,1.1,0.05,1.0,0.964050935404796,dual_cluster
8,1.125,0.05,1.0,0.9655790424673049,dual_cluster
8,1.15,0.05,1.0,0.9670147637925433,dual_cluster
8,1.1749999999999998,0.05,1.0,0.9683648161241231,dual_cluster
8,1.2,0.05,1.0,0.9696354245938776,dual_cluster
9,0.4,0.05,1.0,0.7967028227832647,dual_cluster
9,0.42500000000000004,0.05,1.0,0.8812272540343977,dual_cluster
9,0.45,0.05,1.0,0.8457095335317397,dual_cluster
9,0.47500000000000003,0.05,1.0,0.9113533527591196,dual_cluster
9,0.5,0.05,1.0,0.8535207865874829,dual_cluster
9,0.525,0.05,1.0,0.9486146330734485,absorbed
9,0.55,0.05,1.0,0.9011919223992755,dual_cluster
9,0.575,0.05,1.0,0.934413958661338,dual_cluster
9,0.6,0.05,1.0,0.8868745312311914,dual_cluster
9,0.625,0.05,1.0,0.9053956651810167,dual_cluster
9,0.65,0.05,1.0,0.9139551253240389,dual_cluster
9,0.675,0.05,1.0,0.9183796013050233,dual_cluster
9,0.7,0.05,1.0,0.922533564822427,dual_cluster
9,0.725,0.05,1.0,0.9264515713445399,dual_cluster
9,0.75,0.05,1.0,0.9301546908275036,dual_cluster
9,0.7749999999999999,0.05,1.0,0.9336572602467664,dual_cluster
9,0.8,0.05,1.0,0.9369693493113067,dual_cluster
9,0.825,0.05,1.0,0.9400986332099451,dual_cluster
9,0.85,0.05,1.0,0.9430517203285883,dual_cluster
9,0.875,0.05,1.0,0.9458350013173039,dual_cluster
9,0.8999999999999999,0.05,1.0,0.9484551115949797,dual_cluster
