K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction
0.55,0.4,0.3138655296089821,0.08102126567633601,0.3172796628655925,0.08637278565000235,0.017243018762983914,0.01577966713042042,0.26356666666666667,0.2613275397675026,0.07717671473485552,0.0061903165337039694,0.4811045908602664,0.17772968419463275,0.5188954091397335,0.17772968419463278,0.445,0.31977239712788263,0.5549999999999999,0.3197723971278826,1.1440978304971463,0.3538426964087581,0.0,0.1,0.9
0.55,0.5,0.3138655296089821,0.08102126567633601,0.3185532833496741,0.08054733035057833,0.020360538786459836,0.019967476722793396,0.269,0.25213367845820495,0.11796585834561299,0.009251582888256752,0.47788402659035845,0.17327121411234916,0.5221159734096416,0.17327121411234914,0.4916666666666667,0.3300053162782834,0.5083333333333333,0.3300053162782834,1.1027894414395898,0.39545310564460007,0.0,0.25,0.75
0.55,0.6,0.3138655296089821,0.08102126567633601,0.3241153634881152,0.0742558752318305,0.016860761102306315,0.01546928557758243,0.22426666666666667,0.26730803572828166,0.16539907327823802,0.012620482702679172,0.5156670390274816,0.16510705976387843,0.4843329609725184,0.1651070597638784,0.4,0.2848001248439177,0.6,0.28480012484391765,1.1446148179147617,0.30238810599302485,0.05,0.15,0.8
0.55,0.7,0.3138655296089821,0.08102126567633601,0.3200812384670203,0.08061275725203215,0.020098882256675436,0.015733305682742334,0.2551333333333333,0.2481304222233714,0.21820165710832762,0.016119513763978188,0.5103630104757846,0.15870683932161755,0.4896369895242154,0.15870683932161758,0.49416666666666664,0.2952981940205745,0.5058333333333334,0.2952981940205745,1.064278376755051,0.33818997656355465,0.05,0.15,0.8
0.55,0.8,0.3138655296089821,0.08102126567633601,0.3173736287604322,0.082046357742371,0.018560248042084206,0.015025608538236337,0.20930000000000004,0.2295803927280076,0.27501336509577834,0.019574552190271172,0.5220893906741001,0.17023303194844122,0.4779106093258999,0.17023303194844122,0.49333333333333335,0.34511630381350394,0.5066666666666666,0.3451163038135039,1.0415423380030877,0.38259684453461135,0.05,0.15,0.8
0.55,0.9,0.3138655296089821,0.08102126567633601,0.3180701343003881,0.08328154772986295,0.01872250740770187,0.015853223090154227,0.24783333333333335,0.23239157064158578,0.3344453021287236,0.022826270986153887,0.5098576854953168,0.1564319452255863,0.49014231450468315,0.1564319452255863,0.5025000000000001,0.3288859006897599,0.49749999999999994,0.32888590068975987,1.054281274689942,0.3397987020123603,0.0,0.25,0.75
0.55,1.0,0.3138655296089821,0.08102126567633601,0.3191224952959821,0.08507714010537391,0.017640885887255476,0.01312180477669117,0.2615,0.27457951904812894,0.3951348454840403,0.025739536121692618,0.520319008677679,0.17386971468731321,0.47968099132232106,0.17386971468731324,0.5608333333333333,0.3136875097946515,0.43916666666666665,0.3136875097946515,0.9886328794608016,0.34096170049765273,0.0,0.2,0.8
0.6,0.0,0.41695963168685085,0.07260707124064479,0.41464984585783826,0.06992576672420903,0.015288718117917313,0.009687000973459772,0.2513333333333334,0.19740290381032524,0.0,0.0,0.7052738822098841,0.16911164369816464,0.2947261177901159,0.16911164369816464,0.49000000000000005,0.37186899535670137,0.51,0.37186899535670126,0.8713816306529285,0.4056365464738707,0.05,0.4,0.55
0.6,0.1,0.41695963168685085,0.07260707124064479,0.4192682944436522,0.06774187258105162,0.016224185267642334,0.010350556795818866,0.28986666666666683,0.20424839824863864,0.0050052179181845294,0.0004168250027602328,0.7078750157243594,0.16385235423421662,0.2921249842756406,0.16385235423421662,0.4583333333333333,0.42706327509594233,0.5416666666666667,0.4270632750959424,0.9103143639258844,0.490852586308131,0.1,0.35,0.55
0.6,0.2,0.41695963168685085,0.07260707124064479,0.418477899807458,0.06972136839705535,0.014076076107660837,0.00988160725290079,0.2850333333333334,0.23317051712958808,0.019872739028975673,0.0016425761674761842,0.7050926622930677,0.1791289296078481,0.29490733770693234,0.1791289296078481,0.4125,0.41106319856729356,0.5875,0.4110631985672937,0.957184690067181,0.4593875805657761,0.15,0.25,0.6
0.6,0.3,0.41695963168685085,0.07260707124064479,0.4200252344142149,0.0679065047251713,0.015219594957970586,0.010375221364001905,0.3419333333333334,0.2363711918802229,0.044165205345395635,0.0036050553681144775,0.7109187121003138,0.14590063305299217,0.28908128789968623,0.14590063305299217,0.43,0.41880503915152867,0.5700000000000001,0.41880503915152867,0.9483695199725123,0.5065490438523975,0.2,0.25,0.55
0.6,0.4,0.41695963168685085,0.07260707124064479,0.41955261660533233,0.06888288565351436,0.0167802932328857,0.01280075028938436,0.37986666666666674,0.27291003594462826,0.07717671473485552,0.006190316533703938,0.7019651385299605,0.1644359748099002,0.29803486147003955,0.1644359748099002,0.4175,0.4352345270853996,0.5825,0.4352345270853996,0.9796966014449277,0.5358804053033348,0.15,0.3,0.55
0.6,0.5,0.41695963168685085,0.07260707124064479,0.42058647402160326,0.06747722027799764,0.016269993317941277,0.013833626344994339,0.33163333333333345,0.2293180813981758,0.11796585834561298,0.009251582888256747,0.6947745106114581,0.16484964088787182,0.3052254893885418,0.16484964088787182,0.3383333333333333,0.4085382586391755,0.6616666666666667,0.4085382586391755,1.0538679877180273,0.4890824787583775,0.1,0.25,0.65
0.6,0.6,0.41695963168685085,0.07260707124064479,0.4224035157025733,0.06675944772743571,0.016667108169224915,0.01442674836475457,0.35280000000000006,0.22081980163771914,0.16539907327823802,0.012620482702679186,0.6947682771204782,0.16373400797014673,0.3052317228795217,0.16373400797014673,0.39,0.4115439478994091,0.61,0.4115439478994091,1.007598499921828,0.47657381725305276,0.1,0.3,0.6
0.6,0.7,0.41695963168685085,0.07260707124064479,0.4193513639899947,0.06838912311685318,0.017313940990805854,0.013959846271660564,0.37186666666666673,0.21182963473519656,0.21820165710832762,0.016119513763978178,0.6775636790233339,0.17270957320779418,0.3224363209766661,0.17270957320779415,0.38,0.466998628796965,0.62,0.466998628796965,1.039731472891034,0.5290796972131088,0.1,0.25,0.65
0.6,0.8,0.41695963168685085,0.07260707124064479,0.4192535731103983,0.068395359870516,0.017059212709591636,0.012920500945694574,0.3544000000000001,0.20503206424464693,0.27501336509577834,0.019574552190271183,0.6817931624473036,0.18657999525181007,0.31820683755269646,0.18657999525181007,0.38,0.41873521620058385,0.62,0.4187352162005839,1.0310716407300944,0.4918744366110726,0.1,0.3,0.6
