K,kick_strength,seed,R_pre_mean,R_post_mean,R_change,cluster_pre_mean,cluster_post_mean,cluster_change,cluster_pre_mode,cluster_post_mode,cluster_shift,kick_distance,recovery_similarity,memory_loss,core_overlap,new_core_fraction,irreversibility_score,regime
0.4,0.2,4,0.08825558066894033,0.15901489734765276,0.07075931667871242,0.02266666666666667,0.10266666666666667,0.08,0,0,0,0.01810989112517447,0.10141640256635595,0.898583597433644,0.6833333333333333,0.31666666666666665,1.2529400932699888,irreversible
0.4,0.2,5,0.1258628326307061,0.13274253271725,0.0068797000865438995,0.07666666666666666,0.10866666666666666,0.032,0,0,0,0.019288153457760138,0.08705970467769168,0.9129402953223084,0.8333333333333334,0.16666666666666663,1.089326887010611,irreversible
0.4,0.2,6,0.08282277859058966,0.08449810001633518,0.0016753214257455157,0.05266666666666667,0.043333333333333335,0.009333333333333332,0,0,0,0.0214311705939928,0.09928916533661447,0.9007108346633855,0.8,0.19999999999999996,1.103462998353155,irreversible
0.4,0.2,7,0.2152299246299264,0.23214916551321596,0.016919240883289555,0.16666666666666666,0.2886666666666667,0.12200000000000003,0,0,0,0.02295582617563563,0.31212556368323635,0.6878744363167637,0.3333333333333333,0.6666666666666667,1.3892709132042529,irreversible
0.4,0.2,8,0.07086648489324654,0.06101291284302495,0.009853572050221589,0.024666666666666667,0.023333333333333334,0.0013333333333333322,0,0,0,0.02222273995200541,0.04797395619349475,0.9520260438065052,0.9166666666666666,0.08333333333333337,1.0381561034857274,irreversible
0.4,0.2,9,0.06403404952127821,0.06967832037776016,0.005644270856481948,0.04466666666666667,0.02266666666666667,0.022,0,0,0,0.018187698023347854,0.07416844445411624,0.9258315555458838,0.95,0.050000000000000044,0.9827426232600043,irreversible
0.4,0.2,10,0.10346628979126055,0.08673488537006123,0.016731404421199317,0.06733333333333333,0.027333333333333334,0.039999999999999994,0,0,0,0.019247186053557908,0.060983533699505044,0.939016466300495,0.8,0.19999999999999996,1.1531993174057948,irreversible
0.4,0.2,11,0.15646160191364836,0.13889937217857057,0.01756222973507779,0.07,0.106,0.03599999999999999,0,0,0,0.019202771093093873,0.25716723770024863,0.7428327622997514,0.8833333333333333,0.1166666666666667,0.8728899864001876,irreversible
0.4,0.2,12,0.08498253953638653,0.11620893457271017,0.031226395036323643,0.036,0.056,0.020000000000000004,0,0,0,0.019693681911027383,0.094439197773116,0.905560802226884,0.7833333333333333,0.21666666666666667,1.1350340676526316,irreversible
0.4,0.2,13,0.10143632821765704,0.08182803738682777,0.019608290830829267,0.056,0.02266666666666667,0.03333333333333333,0,0,0,0.018400621743477563,0.13354636845759882,0.8664536315424012,0.9333333333333333,0.06666666666666665,0.9463557042501085,irreversible
0.4,0.2,14,0.08839690794768372,0.07677806860731957,0.011618839340364145,0.04066666666666666,0.042666666666666665,0.0020000000000000018,0,0,0,0.017822918794434872,0.07963318698668212,0.9203668130133179,0.8333333333333334,0.16666666666666663,1.0904381895150754,irreversible
0.4,0.2,15,0.08545806964414503,0.10962586107191763,0.024167791427772603,0.058,0.05,0.008,0,0,0,0.021030983863888464,0.16722582513745718,0.8327741748625428,0.8333333333333334,0.16666666666666663,1.0074827893861524,irreversible
0.4,0.2,16,0.08460491641213293,0.08719047350126319,0.002585557089130261,0.048,0.04933333333333333,0.0013333333333333322,0,0,0,0.019762566257660485,0.04624765150793541,0.9537523484920646,0.8833333333333333,0.1166666666666667,1.0713987377643472,irreversible
0.4,0.2,17,0.12597026089492133,0.12689010018684288,0.0009198392919215481,0.07266666666666667,0.072,0.0006666666666666765,0,0,0,0.02041849490494585,0.18162160552696419,0.8183783944730358,0.8833333333333333,0.1166666666666667,0.9354416876293495,irreversible
0.4,0.2,18,0.0931473445238972,0.13406109500251986,0.04091375047862267,0.034666666666666665,0.046,0.011333333333333334,0,0,0,0.020710169321628502,0.16949446463687673,0.8305055353631232,0.9,0.09999999999999998,0.9435673063161122,irreversible
0.4,0.2,19,0.11528260354457787,0.10239415230631074,0.012888451238267123,0.07066666666666667,0.032,0.03866666666666667,0,0,0,0.018997841239258295,0.11916023690103553,0.8808397630989645,0.8666666666666667,0.1333333333333333,1.0270618759085313,irreversible
0.4,0.3,0,0.09401153766645147,0.07543347732614182,0.01857806034030965,0.03666666666666667,0.04733333333333333,0.010666666666666665,0,0,0,0.04491957961568338,0.011520714471321705,0.9884792855286783,0.8666666666666667,0.1333333333333333,1.1291238006137556,irreversible
0.4,0.3,1,0.14217452722414173,0.12970462707202574,0.012469900152115992,0.10733333333333334,0.07466666666666667,0.03266666666666666,0,0,0,0.04905571508536821,0.24780967249280852,0.7521903275071915,0.7333333333333333,0.2666666666666667,1.030141135878554,irreversible
0.4,0.3,2,0.10195446625585115,0.06985168660928563,0.03210277964656552,0.05466666666666667,0.04933333333333333,0.005333333333333336,0,0,0,0.04686935264896541,0.11048479408494441,0.8895152059150556,0.9166666666666666,0.08333333333333337,0.9822075674933637,irreversible
0.4,0.3,3,0.09355334649588794,0.10493690221024804,0.011383555714360102,0.04066666666666666,0.048,0.0073333333333333375,0,0,0,0.037010886385621666,0.14309522669182456,0.8569047733081754,0.9,0.09999999999999998,0.9615839955700988,irreversible
0.4,0.3,4,0.08825558066894033,0.15973964834783544,0.0714840676788951,0.02266666666666667,0.10666666666666667,0.084,0,0,0,0.04033879710526955,0.10325127965972399,0.896748720340276,0.6833333333333333,0.31666666666666665,1.2522864039266663,irreversible
0.4,0.3,5,0.1258628326307061,0.12288007364035217,0.0029827589903539398,0.07666666666666666,0.07066666666666667,0.0059999999999999915,0,0,0,0.0429054608730709,0.057594299768891154,0.9424057002311088,0.8666666666666667,0.1333333333333333,1.0779847233120305,irreversible
0.4,0.3,6,0.08282277859058966,0.08449227923130305,0.0016695006407133894,0.05266666666666667,0.02,0.03266666666666666,0,0,0,0.04757620097962545,0.10018302171821938,0.8998169782817806,0.8166666666666667,0.18333333333333335,1.091734353441959,irreversible
0.4,0.3,7,0.2152299246299264,0.22817717952651537,0.012947254896588961,0.16666666666666666,0.19,0.023333333333333345,0,0,0,0.0509654938033971,0.3141204956107235,0.6858795043892765,0.3333333333333333,0.6666666666666667,1.3616163181134238,irreversible
0.4,0.3,8,0.07086648489324654,0.07600119972223632,0.005134714828989778,0.024666666666666667,0.020666666666666667,0.004,0,0,0,0.04932491169818787,0.049638764515362824,0.9503612354846371,0.9,0.09999999999999998,1.0526449141918846,irreversible
0.4,0.3,9,0.06403404952127821,0.07470090873225782,0.01066685921097961,0.04466666666666667,0.06066666666666667,0.016,0,0,0,0.04043632998506097,0.07791883516933354,0.9220811648306665,0.95,0.050000000000000044,0.9787478796334115,irreversible
0.4,0.3,10,0.10346628979126055,0.0919067682722607,0.011559521518999846,0.06733333333333333,0.05,0.017333333333333326,0,0,0,0.04280687287122964,0.06286145835146636,0.9371385416485336,0.8,0.19999999999999996,1.1443617553616168,irreversible
0.4,0.3,11,0.15646160191364836,0.14145855048107808,0.015003051432570275,0.07,0.12733333333333333,0.05733333333333332,0,0,0,0.04270669406900163,0.241655872407534,0.758344127592466,0.8666666666666667,0.1333333333333333,0.9097615571172752,irreversible
0.4,0.3,12,0.08498253953638653,0.11624226234169767,0.03125972280531114,0.036,0.09,0.054,0,0,0,0.043762203751507744,0.0899098560741487,0.9100901439258513,0.7833333333333333,0.21666666666666667,1.1480717412938457,irreversible
0.4,0.3,13,0.10143632821765704,0.08979369732740693,0.01164263089025011,0.056,0.062,0.005999999999999998,0,0,0,0.04091397074266456,0.14232848991775196,0.8576715100822481,0.9166666666666666,0.08333333333333337,0.9454155011381439,irreversible
0.4,0.3,14,0.08839690794768372,0.08370568779367853,0.004691220154005193,0.04066666666666666,0.05266666666666667,0.012000000000000004,0,0,0,0.039658121293117965,0.09389996393087023,0.9061000360691298,0.8333333333333334,0.16666666666666663,1.0769395077742976,irreversible
0.4,0.3,15,0.08545806964414503,0.11031378205880135,0.024855712414656325,0.058,0.06533333333333333,0.007333333333333324,0,0,0,0.04665332075894657,0.16342668216243486,0.8365733178375652,0.8333333333333334,0.16666666666666663,1.0112872459412292,irreversible
